D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta Efb1,G + Efb1,Aresta Ehp1,G + Ehp1,Aresta Ehp2,G + Ehp2,Aresta Ehe1,G + Ehe1,Aresta Ehe2,G + Ehe2
4,5,1,1,"T(5, 4, 1)",0.3819660112501051,"(0, 4)",1.3819660112501064,"(0, 4)",1.3819660112501051,"(0, 2)",1.3819660112501051,"(0, 3)",1.0,"(1, 3)",1.0
4,6,1,2,"T(6, 4, 1)",0.32486912943335361,"(0, 3)",0.99999999999999967,"(0, 4)",1.2679491924311221,"(0, 5)",1.2679491924311221,"(0, 3)",0.99999999999999967,"(1, 3)",0.99999999999999967
4,7,1,3,"T(7, 4, 1)",0.29553218574068651,"(0, 3)",1.0,"(0, 4)",0.82141986776865272,"(0, 5)",0.82141986776865272,"(0, 3)",1.0,"(1, 3)",1.0
4,7,2,2,"T(7, 4, 2)",0.26794919243112258,"(2, 4)",0.73819775474002913,"(0, 5)",1.0000000000000007,"(1, 6)",1.0000000000000007,"(0, 4)",0.86736250642016033,"(1, 4)",0.86736250642016033
4,8,1,4,"T(8, 4, 1)",0.2774068956782052,"(0, 3)",0.99999999999999944,"(0, 4)",0.74375162115608828,"(0, 5)",0.74375162115608828,"(0, 3)",0.99999999999999944,"(1, 3)",0.99999999999999944
4,8,2,3,"T(8, 4, 2)",0.23844281816810967,"(2, 4)",0.67142821482012283,"(0, 5)",0.76393202250021131,"(1, 6)",0.76393202250021131,"(0, 4)",0.83772233983162026,"(1, 4)",0.83772233983162026
4,9,1,5,"T(9, 4, 1)",0.26503401953718564,"(0, 3)",0.99999999999999956,"(0, 4)",0.69722436226800499,"(0, 5)",0.69722436226800499,"(0, 3)",0.99999999999999956,"(1, 3)",0.99999999999999956
4,9,2,4,"T(9, 4, 2)",0.22012885555354464,"(2, 4)",0.64651968292800022,"(0, 5)",0.67112781802892052,"(1, 6)",0.67112781802892052,"(0, 4)",0.81704286558775507,"(1, 4)",0.81704286558775507
4,9,3,3,"T(9, 4, 3)",0.20871215252207992,"(3, 5)",0.59877769517314228,"(0, 6)",0.60861761936909853,"(1, 7)",0.60861761936909853,"(0, 5)",0.58722712487658602,"(1, 5)",0.58722712487658602
4,10,1,6,"T(10, 4, 1)",0.25602927727484021,"(0, 3)",0.99999999999999878,"(0, 4)",0.66570555764062389,"(0, 5)",0.66570555764062389,"(0, 3)",0.99999999999999878,"(1, 3)",0.99999999999999878
4,10,2,5,"T(10, 4, 2)",0.20759056670206419,"(2, 4)",0.63025617419522906,"(0, 5)",0.61681532839192332,"(1, 6)",0.61681532839192332,"(0, 4)",0.80174547005830465,"(1, 4)",0.80174547005830465
4,10,3,4,"T(10, 4, 3)",0.19021407987257982,"(3, 5)",0.55571364215411745,"(0, 6)",0.5343723385102559,"(1, 7)",0.5343723385102559,"(0, 5)",0.56006689611769311,"(1, 5)",0.56006689611769311
4,11,1,7,"T(11, 4, 1)",0.24917381196406477,"(0, 3)",0.99999999999999933,"(0, 4)",0.64278159538109547,"(0, 5)",0.64278159538109547,"(0, 3)",0.99999999999999933,"(1, 3)",0.99999999999999933
4,11,2,6,"T(11, 4, 2)",0.1984466822321902,"(2, 4)",0.61797655234979609,"(0, 5)",0.58039922982794734,"(1, 6)",0.58039922982794734,"(0, 4)",0.7899506302321021,"(1, 4)",0.7899506302321021
4,11,3,5,"T(11, 4, 3)",0.17752995668440028,"(3, 5)",0.53506155324559945,"(0, 6)",0.48874793961015062,"(1, 7)",0.48874793961015062,"(0, 5)",0.54040667794482899,"(1, 5)",0.54040667794482899
4,11,4,4,"T(11, 4, 4)",0.17157287525381015,"(4, 6)",0.50749451779828225,"(0, 7)",0.46592980327726885,"(1, 8)",0.46592980327726885,"(0, 6)",0.47583815563480053,"(1, 6)",0.47583815563480053
4,12,1,8,"T(12, 4, 1)",0.24377639361761286,"(0, 3)",0.999999999999999,"(0, 4)",0.62529710706151886,"(0, 5)",0.62529710706151886,"(0, 3)",0.999999999999999,"(1, 3)",0.999999999999999
4,12,2,7,"T(12, 4, 2)",0.19147461936913915,"(2, 4)",0.60835443238205933,"(0, 5)",0.55406147779615,"(1, 6)",0.55406147779615,"(0, 4)",0.78056940527210128,"(1, 4)",0.78056940527210128
4,12,3,6,"T(12, 4, 3)",0.16826951028161657,"(3, 5)",0.51942598669490248,"(0, 6)",0.45742016457880397,"(1, 7)",0.45742016457880397,"(0, 5)",0.52545174997363575,"(1, 5)",0.52545174997363575
4,12,4,5,"T(12, 4, 4)",0.15877792994993839,"(4, 6)",0.48033694261491611,"(0, 7)",0.42321008154940176,"(1, 8)",0.42321008154940176,"(0, 6)",0.45419694568831903,"(1, 6)",0.45419694568831903
4,13,1,9,"T(13, 4, 1)",0.23941468844881508,"(0, 3)",0.99999999999999956,"(0, 4)",0.61149384233206372,"(0, 5)",0.61149384233206372,"(0, 3)",0.99999999999999956,"(1, 3)",0.99999999999999956
4,13,2,8,"T(13, 4, 2)",0.18597886852550805,"(2, 4)",0.60060068252057031,"(0, 5)",0.53404199523942431,"(1, 6)",0.53404199523942431,"(0, 4)",0.77292477824526673,"(1, 4)",0.77292477824526673
4,13,3,7,"T(13, 4, 3)",0.16120273643429003,"(3, 5)",0.50714611751341254,"(0, 6)",0.43443479483808051,"(1, 7)",0.43443479483808051,"(0, 5)",0.51366532829615741,"(1, 5)",0.51366532829615741
4,13,4,6,"T(13, 4, 4)",0.14943000726744143,"(4, 6)",0.46269134252302135,"(0, 7)",0.39363334050013199,"(1, 8)",0.39363334050013199,"(0, 6)",0.43774668690899465,"(1, 6)",0.43774668690899465
4,13,5,5,"T(13, 4, 5)",0.14589803375031493,"(5, 7)",0.44380978829854895,"(0, 8)",0.38196601125010538,"(1, 9)",0.38196601125010538,"(0, 7)",0.40427054654212191,"(1, 7)",0.40427054654212191
4,14,1,10,"T(14, 4, 1)",0.2358156613785653,"(0, 3)",0.99999999999999989,"(0, 4)",0.60030626781271146,"(0, 5)",0.60030626781271146,"(0, 3)",0.99999999999999989,"(1, 3)",0.99999999999999989
4,14,2,9,"T(14, 4, 2)",0.18153346679560162,"(2, 4)",0.59421368919550988,"(0, 5)",0.51827314438683003,"(1, 6)",0.51827314438683003,"(0, 4)",0.76657267921452132,"(1, 4)",0.76657267921452132
4,14,3,8,"T(14, 4, 3)",0.15562874174533001,"(3, 5)",0.49723136948024121,"(0, 6)",0.41679342931852076,"(1, 7)",0.41679342931852076,"(0, 5)",0.50412323231913303,"(1, 5)",0.50412323231913303
4,14,4,7,"T(14, 4, 4)",0.14229271467417626,"(4, 6)",0.44881297249389895,"(0, 7)",0.37181935237392028,"(1, 8)",0.37181935237392028,"(0, 6)",0.42478697725545939,"(1, 6)",0.42478697725545939
4,14,5,6,"T(14, 4, 5)",0.13648343079672742,"(5, 7)",0.42478044959170708,"(0, 8)",0.35328275584053614,"(1, 9)",0.35328275584053614,"(0, 7)",0.38693436644043006,"(1, 7)",0.38693436644043006
4,15,1,11,"T(15, 4, 1)",0.23279477268054316,"(0, 3)",0.99999999999999867,"(0, 4)",0.59104787196767583,"(0, 5)",0.59104787196767583,"(0, 3)",0.99999999999999867,"(1, 3)",0.99999999999999867
4,15,2,10,"T(15, 4, 2)",0.17786251159806657,"(2, 4)",0.58885821741337074,"(0, 5)",0.50551253056677503,"(1, 6)",0.50551253056677503,"(0, 4)",0.76120927072030675,"(1, 4)",0.76120927072030675
4,15,3,9,"T(15, 4, 3)",0.15111771856648765,"(3, 5)",0.48905058510337784,"(0, 6)",0.40280006772777827,"(1, 7)",0.40280006772777827,"(0, 5)",0.49623292523706869,"(1, 5)",0.49623292523706869
4,15,4,8,"T(15, 4, 4)",0.13666077766672566,"(4, 6)",0.43759397543487893,"(0, 7)",0.35501637847045175,"(1, 8)",0.35501637847045175,"(0, 6)",0.41429745492267855,"(1, 6)",0.41429745492267855
4,15,5,7,"T(15, 4, 5)",0.12929257574994821,"(5, 7)",0.40979857354547733,"(0, 8)",0.33206695234016453,"(1, 9)",0.33206695234016453,"(0, 7)",0.37327478351903276,"(1, 7)",0.37327478351903276
4,15,6,6,"T(15, 4, 6)",0.12701665379258306,"(6, 8)",0.39737109335578097,"(0, 9)",0.3251402041936679,"(1, 10)",0.3251402041936679,"(0, 8)",0.3529172089511009,"(1, 8)",0.3529172089511009
4,16,1,12,"T(16, 4, 1)",0.23022272348423423,"(0, 3)",0.99999999999999967,"(0, 4)",0.58325505292661517,"(0, 5)",0.58325505292661517,"(0, 3)",0.99999999999999967,"(1, 3)",0.99999999999999967
4,16,2,11,"T(16, 4, 2)",0.17477923736647433,"(2, 4)",0.58430119915308742,"(0, 5)",0.49496435614036577,"(1, 6)",0.49496435614036577,"(0, 4)",0.75661942051582376,"(1, 4)",0.75661942051582376
4,16,3,10,"T(16, 4, 3)",0.1473909912551277,"(3, 5)",0.48218102519202094,"(0, 6)",0.39141585543304586,"(1, 7)",0.39141585543304586,"(0, 5)",0.48959558781584445,"(1, 5)",0.48959558781584445
4,16,4,9,"T(16, 4, 4)",0.13210135156180797,"(4, 6)",0.42832738228791783,"(0, 7)",0.34165241649811862,"(1, 8)",0.34165241649811862,"(0, 6)",0.40562487039913347,"(1, 6)",0.40562487039913347
4,16,5,8,"T(16, 4, 5)",0.12361673722253085,"(5, 7)",0.39767712066687338,"(0, 8)",0.31569181235816296,"(1, 9)",0.31569181235816296,"(0, 7)",0.36221708110715484,"(1, 7)",0.36221708110715484
4,16,6,7,"T(16, 4, 6)",0.11978397323627231,"(6, 8)",0.3815710166194537,"(0, 9)",0.30428564792500379,"(1, 10)",0.30428564792500379,"(0, 8)",0.33877941850418436,"(1, 8)",0.33877941850418436
4,17,1,13,"T(17, 4, 1)",0.22800618035507256,"(0, 3)",0.99999999999999512,"(0, 4)",0.57660280565346422,"(0, 5)",0.57660280565346422,"(0, 3)",0.99999999999999512,"(1, 3)",0.99999999999999512
4,17,2,12,"T(17, 4, 2)",0.17215261758846462,"(2, 4)",0.58037531686666877,"(0, 5)",0.48609346765811828,"(1, 6)",0.48609346765811828,"(0, 4)",0.75264641687442246,"(1, 4)",0.75264641687442246
4,17,3,11,"T(17, 4, 3)",0.14425976038618532,"(3, 5)",0.47632819253708902,"(0, 6)",0.38196601125010377,"(1, 7)",0.38196601125010377,"(0, 5)",0.4839322867339923,"(1, 5)",0.4839322867339923
4,17,4,10,"T(17, 4, 4)",0.12833361005601357,"(4, 6)",0.42053901096548413,"(0, 7)",0.33075785686144571,"(1, 8)",0.33075785686144571,"(0, 6)",0.39832998418655274,"(1, 6)",0.39832998418655274
4,17,5,9,"T(17, 4, 5)",0.11902070351447105,"(5, 7)",0.38765775245238615,"(0, 8)",0.30264859257965593,"(1, 9)",0.30264859257965593,"(0, 7)",0.35307332297447064,"(1, 7)",0.35307332297447064
