D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
7,9,1,2,"T(1, 2, 7)",0.1289,"(1, 8)",0.4131,"(1, 7)",0.4116,"(2, 7)",0.4892,HP
7,10,1,3,"T(1, 3, 7)",0.1148,"(1, 8)",0.3457,"(1, 7)",0.3676,"(2, 7)",0.4367,HE
7,10,2,2,"T(2, 2, 7)",0.1088,"(1, 9)",0.3376,"(1, 8)",0.3617,"(3, 8)",0.4558,HE
7,11,1,4,"T(1, 4, 7)",0.1054,"(1, 8)",0.3071,"(1, 7)",0.3391,"(2, 7)",0.4028,HE
7,11,2,3,"T(2, 3, 7)",0.0964,"(1, 9)",0.2888,"(1, 8)",0.3226,"(3, 8)",0.4108,HE
7,12,1,5,"T(1, 5, 7)",0.0987,"(1, 8)",0.2817,"(1, 7)",0.319,"(2, 7)",0.3789,HE
7,12,2,4,"T(2, 4, 7)",0.0881,"(1, 9)",0.2577,"(1, 8)",0.2962,"(3, 8)",0.3778,HE
7,12,3,3,"T(3, 3, 7)",0.085,"(1, 10)",0.2497,"(1, 9)",0.283,"(4, 9)",0.3772,HE
7,13,1,6,"T(1, 6, 7)",0.0936,"(1, 8)",0.2636,"(1, 7)",0.304,"(2, 7)",0.3612,HE
7,13,2,5,"T(2, 5, 7)",0.0821,"(1, 9)",0.2364,"(1, 8)",0.2773,"(3, 8)",0.3539,HE
7,13,3,4,"T(3, 4, 7)",0.0773,"(1, 10)",0.2235,"(1, 9)",0.2599,"(4, 9)",0.3487,HE
7,14,1,7,"T(1, 7, 7)",0.0897,"(1, 8)",0.25,"(1, 7)",0.2924,"(2, 7)",0.3474,HE
7,14,2,6,"T(2, 6, 7)",0.0775,"(1, 9)",0.2208,"(1, 8)",0.2631,"(3, 8)",0.3358,HE
7,14,3,5,"T(3, 5, 7)",0.0717,"(1, 10)",0.2049,"(1, 9)",0.2429,"(4, 9)",0.3266,HE
7,14,4,4,"T(4, 4, 7)",0.0699,"(1, 11)",0.2,"(1, 10)",0.2332,"(5, 10)",0.3231,HE
7,15,1,8,"T(1, 8, 7)",0.0865,"(1, 8)",0.2394,"(1, 7)",0.2831,"(2, 7)",0.3364,HE
7,15,2,7,"T(2, 7, 7)",0.074,"(1, 9)",0.209,"(1, 8)",0.2519,"(3, 8)",0.3216,HE
7,15,3,6,"T(3, 6, 7)",0.0674,"(1, 10)",0.1912,"(1, 9)",0.2298,"(4, 9)",0.3093,HE
7,15,4,5,"T(4, 5, 7)",0.0646,"(1, 11)",0.1831,"(1, 10)",0.2175,"(5, 10)",0.3026,HE
7,16,1,9,"T(1, 9, 7)",0.084,"(1, 8)",0.2309,"(1, 7)",0.2754,"(2, 7)",0.3274,HE
7,16,2,8,"T(2, 8, 7)",0.0712,"(1, 9)",0.1997,"(1, 8)",0.243,"(3, 8)",0.3102,HE
7,16,3,7,"T(3, 7, 7)",0.0641,"(1, 10)",0.1806,"(1, 9)",0.2196,"(4, 9)",0.2956,HE
7,16,4,6,"T(4, 6, 7)",0.0605,"(1, 11)",0.1705,"(1, 10)",0.2053,"(5, 10)",0.2863,HE
7,16,5,5,"T(5, 5, 7)",0.0594,"(1, 12)",0.1673,"(1, 11)",0.1987,"(6, 11)",0.2832,HE
7,17,1,10,"T(1, 10, 7)",0.0818,"(1, 8)",0.224,"(1, 7)",0.2691,"(2, 7)",0.3198,HE
7,17,2,9,"T(2, 9, 7)",0.0688,"(1, 9)",0.1921,"(1, 8)",0.2356,"(3, 8)",0.3009,HE
7,17,3,8,"T(3, 8, 7)",0.0615,"(1, 10)",0.1722,"(1, 9)",0.2112,"(4, 9)",0.2845,HE
7,17,4,7,"T(4, 7, 7)",0.0573,"(1, 11)",0.1607,"(1, 10)",0.1957,"(5, 10)",0.2732,HE
7,17,5,6,"T(5, 6, 7)",0.0555,"(1, 12)",0.1554,"(1, 11)",0.1872,"(6, 11)",0.2675,HE
7,18,1,11,"T(1, 11, 7)",0.08,"(1, 8)",0.2181,"(1, 7)",0.2637,"(2, 7)",0.3135,HE
7,18,2,10,"T(2, 10, 7)",0.0669,"(1, 9)",0.1859,"(1, 8)",0.2295,"(3, 8)",0.2931,HE
7,18,3,9,"T(3, 9, 7)",0.0593,"(1, 10)",0.1654,"(1, 9)",0.2044,"(4, 9)",0.2753,HE
7,18,4,8,"T(4, 8, 7)",0.0548,"(1, 11)",0.1529,"(1, 10)",0.1878,"(5, 10)",0.2624,HE
7,18,5,7,"T(5, 7, 7)",0.0524,"(1, 12)",0.1462,"(1, 11)",0.1779,"(6, 11)",0.2548,HE
7,18,6,6,"T(6, 6, 7)",0.0517,"(1, 13)",0.1441,"(1, 12)",0.1733,"(7, 12)",0.2523,HE
7,19,1,12,"T(1, 12, 7)",0.0784,"(1, 8)",0.2132,"(1, 7)",0.2591,"(2, 7)",0.308,HE
7,19,2,11,"T(2, 11, 7)",0.0652,"(1, 9)",0.1807,"(1, 8)",0.2243,"(3, 8)",0.2865,HE
7,19,3,10,"T(3, 10, 7)",0.0574,"(1, 10)",0.1597,"(1, 9)",0.1986,"(4, 9)",0.2676,HE
7,19,4,9,"T(4, 9, 7)",0.0527,"(1, 11)",0.1465,"(1, 10)",0.1813,"(5, 10)",0.2535,HE
7,19,5,8,"T(5, 8, 7)",0.0499,"(1, 12)",0.1388,"(1, 11)",0.1704,"(6, 11)",0.2444,HE
7,19,6,7,"T(6, 7, 7)",0.0487,"(1, 13)",0.1352,"(1, 12)",0.1644,"(7, 12)",0.2399,HE
7,20,1,13,"T(1, 13, 7)",0.0771,"(1, 8)",0.2089,"(1, 7)",0.2551,"(2, 7)",0.3033,HE
7,20,2,12,"T(2, 12, 7)",0.0638,"(1, 9)",0.1763,"(1, 8)",0.2198,"(3, 8)",0.2808,HE
7,20,3,11,"T(3, 11, 7)",0.0559,"(1, 10)",0.1549,"(1, 9)",0.1937,"(4, 9)",0.261,HE
