D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
6,8,1,2,"T(1, 2, 6)","0,1667","(1, 7)","0,4915","(1, 6)","0,4965","(2, 6)","0,5447",HE
6,9,1,3,"T(1, 3, 6)","0,1487","(1, 7)","0,4116","(1, 6)","0,4484","(2, 6)","0,4966",HE
6,9,2,2,"T(2, 2, 6)","0,1392","(1, 8)","0,382","(1, 7)","0,4012","(3, 7)","0,4818",HE
6,10,1,4,"T(1, 4, 6)","0,137","(1, 7)","0,3676","(1, 6)","0,4175","(2, 6)","0,4646",HE
6,10,2,3,"T(2, 3, 6)","0,1231","(1, 8)","0,3259","(1, 7)","0,3613","(3, 7)","0,4384",HE
6,11,1,5,"T(1, 5, 6)","0,1288","(1, 7)","0,3391","(1, 6)","0,3959","(2, 6)","0,4419",HE
6,11,2,4,"T(2, 4, 6)","0,1126","(1, 8)","0,2919","(1, 7)","0,3348","(3, 7)","0,4083",HE
6,11,3,3,"T(3, 3, 6)","0,108","(1, 9)","0,2787","(1, 8)","0,3092","(4, 8)","0,3974",HE
6,12,1,6,"T(1, 6, 6)","0,1227","(1, 7)","0,319","(1, 6)","0,3799","(2, 6)","0,4249",HE
6,12,2,5,"T(2, 5, 6)","0,1051","(1, 8)","0,269","(1, 7)","0,3157","(3, 7)","0,3863",HE
6,12,3,4,"T(3, 4, 6)","0,0981","(1, 9)","0,2492","(1, 8)","0,2851","(4, 8)","0,3683",HE
6,13,1,7,"T(1, 7, 6)","0,118","(1, 7)","0,304","(1, 6)","0,3675","(2, 6)","0,4116",HE
6,13,2,6,"T(2, 6, 6)","0,0995","(1, 8)","0,2524","(1, 7)","0,3014","(3, 7)","0,3696",HE
6,13,3,5,"T(3, 5, 6)","0,091","(1, 9)","0,2289","(1, 8)","0,2676","(4, 8)","0,3468",HE
6,13,4,4,"T(4, 4, 6)","0,0885","(1, 10)","0,2219","(1, 9)","0,2533","(5, 9)","0,3397",HE
6,14,1,8,"T(1, 8, 6)","0,1142","(1, 7)","0,2924","(1, 6)","0,3575","(2, 6)","0,401",HE
6,14,2,7,"T(2, 7, 6)","0,0952","(1, 8)","0,2399","(1, 7)","0,2902","(3, 7)","0,3564",HE
6,14,3,6,"T(3, 6, 6)","0,0857","(1, 9)","0,214","(1, 8)","0,2543","(4, 8)","0,3304",HE
6,14,4,5,"T(4, 5, 6)","0,0817","(1, 10)","0,2031","(1, 9)","0,2366","(5, 9)","0,3185",HE
6,15,1,9,"T(1, 9, 6)","0,1112","(1, 7)","0,2831","(1, 6)","0,3494","(2, 6)","0,3923",HE
6,15,2,8,"T(2, 8, 6)","0,0918","(1, 8)","0,2301","(1, 7)","0,2812","(3, 7)","0,3458",HE
6,15,3,7,"T(3, 7, 6)","0,0816","(1, 9)","0,2027","(1, 8)","0,2439","(4, 8)","0,3173",HE
6,15,4,6,"T(4, 6, 6)","0,0766","(1, 10)","0,1892","(1, 9)","0,224","(5, 9)","0,3021",HE
6,15,5,5,"T(5, 5, 6)","0,075","(1, 11)","0,1851","(1, 10)","0,2152","(6, 10)","0,2973",HE
6,16,1,10,"T(1, 10, 6)","0,1086","(1, 7)","0,2754","(1, 6)","0,3427","(2, 6)","0,385",HE
6,16,2,9,"T(2, 9, 6)","0,0889","(1, 8)","0,2222","(1, 7)","0,2738","(3, 7)","0,3371",HE
6,16,3,8,"T(3, 8, 6)","0,0784","(1, 9)","0,1938","(1, 8)","0,2355","(4, 8)","0,3068",HE
6,16,4,7,"T(4, 7, 6)","0,0726","(1, 10)","0,1786","(1, 9)","0,214","(5, 9)","0,2891",HE
6,16,5,6,"T(5, 6, 6)","0,07","(1, 11)","0,1719","(1, 10)","0,2028","(6, 10)","0,281",HE
6,17,1,11,"T(1, 11, 6)","0,1065","(1, 7)","0,2691","(1, 6)","0,337","(2, 6)","0,3788",HE
6,17,2,10,"T(2, 10, 6)","0,0866","(1, 8)","0,2156","(1, 7)","0,2677","(3, 7)","0,3298",HE
6,17,3,9,"T(3, 9, 6)","0,0757","(1, 9)","0,1866","(1, 8)","0,2286","(4, 8)","0,2981",HE
6,17,4,8,"T(4, 8, 6)","0,0694","(1, 10)","0,1702","(1, 9)","0,2059","(5, 9)","0,2786",HE
