D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
14,16,1,2,"T(1, 2, 14)",0.0389,"(1, 15)",0.1491,"(1, 14)",0.148,"(2, 16)",0.1585,HP
14,17,1,3,"T(1, 3, 14)",0.0354,"(1, 15)",0.1319,"(1, 14)",0.1333,"(3, 14)",0.1505,HE
14,17,2,2,"T(2, 2, 14)",0.0348,"(1, 16)",0.1459,"(1, 15)",0.1443,"(1, 16)",0.1459,HP
14,18,1,4,"T(1, 4, 14)",0.0326,"(1, 15)",0.1193,"(1, 14)",0.1223,"(3, 15)",0.1444,HE
14,18,2,3,"T(2, 3, 14)",0.0317,"(1, 16)",0.1317,"(1, 15)",0.1317,"(3, 17)",0.1376,Iguais
14,19,1,5,"T(1, 5, 14)",0.0305,"(1, 15)",0.1097,"(1, 14)",0.1139,"(4, 14)",0.138,HE
14,19,2,4,"T(2, 4, 14)",0.0293,"(1, 16)",0.1193,"(1, 15)",0.1217,"(4, 15)",0.1319,HE
14,19,3,3,"T(3, 3, 14)",0.0289,"(1, 17)",0.13,"(1, 16)",0.129,"(1, 17)",0.13,HP
14,20,1,6,"T(1, 6, 14)",0.0288,"(1, 15)",0.1022,"(1, 14)",0.1072,"(4, 14)",0.1372,HE
14,20,2,5,"T(2, 5, 14)",0.0274,"(1, 16)",0.1096,"(1, 15)",0.1136,"(4, 15)",0.1288,HE
14,20,3,4,"T(3, 4, 14)",0.0267,"(1, 17)",0.1193,"(1, 16)",0.1206,"(4, 19)",0.1246,HE
14,21,1,7,"T(1, 7, 14)",0.0273,"(1, 15)",0.0962,"(1, 14)",0.1017,"(4, 14)",0.1361,HE
14,21,2,6,"T(2, 6, 14)",0.0258,"(1, 16)",0.1019,"(1, 15)",0.1071,"(4, 19)",0.126,HE
14,21,3,5,"T(3, 5, 14)",0.025,"(1, 17)",0.1094,"(1, 16)",0.1132,"(4, 21)",0.1188,HE
14,21,4,4,"T(4, 4, 14)",0.0247,"(1, 18)",0.1188,"(1, 17)",0.1188,"(5, 17)",0.1195,Iguais
14,22,1,8,"T(1, 8, 14)",0.0262,"(1, 15)",0.0913,"(1, 14)",0.0972,"(4, 14)",0.1345,HE
14,22,2,7,"T(2, 7, 14)",0.0245,"(1, 16)",0.0958,"(1, 15)",0.1017,"(4, 15)",0.1223,HE
14,22,3,6,"T(3, 6, 14)",0.0235,"(1, 17)",0.1015,"(1, 16)",0.107,"(5, 16)",0.1173,HE
14,22,4,5,"T(4, 5, 14)",0.023,"(1, 18)",0.1088,"(1, 17)",0.1126,"(5, 20)",0.1158,HE
14,23,1,9,"T(1, 9, 14)",0.0252,"(1, 15)",0.0872,"(1, 14)",0.0934,"(4, 14)",0.1326,HE
14,23,2,8,"T(2, 8, 14)",0.0235,"(1, 16)",0.0908,"(1, 15)",0.0972,"(4, 15)",0.1191,HE
14,23,3,7,"T(3, 7, 14)",0.0224,"(1, 17)",0.0952,"(1, 16)",0.1017,"(5, 16)",0.116,HE
14,23,4,6,"T(4, 6, 14)",0.0217,"(1, 18)",0.1007,"(1, 17)",0.1068,"(5, 17)",0.1114,HE
14,23,5,5,"T(5, 5, 14)",0.0215,"(1, 19)",0.1054,"(1, 18)",0.1114,"(6, 18)",0.1121,HE
14,24,1,10,"T(1, 10, 14)",0.0243,"(1, 15)",0.0838,"(1, 14)",0.0902,"(4, 14)",0.1302,HE
14,24,2,9,"T(2, 9, 14)",0.0226,"(1, 16)",0.0866,"(1, 15)",0.0934,"(4, 15)",0.116,HE
14,24,3,8,"T(3, 8, 14)",0.0214,"(1, 17)",0.09,"(1, 16)",0.0972,"(5, 16)",0.1145,HE
14,24,4,7,"T(4, 7, 14)",0.0206,"(1, 18)",0.0942,"(1, 17)",0.1017,"(5, 17)",0.1079,HE
14,24,5,6,"T(5, 6, 14)",0.0203,"(1, 19)",0.0986,"(1, 18)",0.1065,"(6, 24)",0.1093,HE
14,25,1,11,"T(1, 11, 14)",0.0236,"(1, 15)",0.0809,"(1, 14)",0.0874,"(4, 14)",0.1276,HE
14,25,2,10,"T(2, 10, 14)",0.0218,"(1, 16)",0.083,"(1, 15)",0.0902,"(4, 15)",0.1132,HE
14,25,3,9,"T(3, 9, 14)",0.0205,"(1, 17)",0.0857,"(1, 16)",0.0934,"(5, 16)",0.1129,HE
14,25,4,8,"T(4, 8, 14)",0.0197,"(1, 18)",0.0888,"(1, 17)",0.0972,"(6, 17)",0.1073,HE
14,25,5,7,"T(5, 7, 14)",0.0192,"(1, 19)",0.0923,"(1, 18)",0.1016,"(6, 18)",0.106,HE
14,25,6,6,"T(6, 6, 14)",0.0191,"(1, 20)",0.0944,"(1, 19)",0.1058,"(7, 19)",0.1066,HE
