D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
21,23,1,2,"T(1, 2, 21)",0.0187,"(1, 22)",0.0737,"(1, 21)",0.0735,"(3, 21)",0.0754,HP
21,24,1,3,"T(1, 3, 21)",0.0174,"(1, 22)",0.0676,"(1, 21)",0.0678,"(3, 24)",0.0714,HE
21,24,2,2,"T(2, 2, 21)",0.0173,"(1, 23)",0.0702,"(1, 22)",0.07,"(3, 22)",0.0702,HP
21,25,1,4,"T(1, 4, 21)",0.0162,"(1, 22)",0.0625,"(1, 21)",0.0632,"(4, 21)",0.0685,HE
21,25,2,3,"T(2, 3, 21)",0.016,"(1, 23)",0.0657,"(1, 22)",0.0654,"(3, 24)",0.0664,HP
21,26,1,5,"T(1, 5, 21)",0.0153,"(1, 22)",0.0584,"(1, 21)",0.0593,"(4, 25)",0.0663,HE
21,26,2,4,"T(2, 4, 21)",0.015,"(1, 23)",0.0614,"(1, 22)",0.0615,"(4, 23)",0.0637,HE
21,26,3,3,"T(3, 3, 21)",0.0149,"(1, 24)",0.0629,"(1, 23)",0.0628,"(2, 24)",0.0629,HP
21,27,1,6,"T(1, 6, 21)",0.0145,"(1, 22)",0.0549,"(1, 21)",0.0561,"(5, 21)",0.0644,HE
21,27,2,5,"T(2, 5, 21)",0.0142,"(1, 23)",0.0577,"(1, 22)",0.0581,"(4, 24)",0.0615,HE
21,27,3,4,"T(3, 4, 21)",0.014,"(1, 24)",0.0598,"(1, 23)",0.0596,"(4, 25)",0.0602,HP
21,28,1,7,"T(1, 7, 21)",0.0138,"(1, 22)",0.052,"(1, 21)",0.0534,"(5, 21)",0.0633,HE
21,28,2,6,"T(2, 6, 21)",0.0134,"(1, 23)",0.0544,"(1, 22)",0.0552,"(5, 22)",0.0601,HE
21,28,3,5,"T(3, 5, 21)",0.0132,"(1, 24)",0.0567,"(1, 23)",0.0567,"(5, 23)",0.0583,Iguais
21,28,4,4,"T(4, 4, 21)",0.0131,"(1, 25)",0.0577,"(1, 24)",0.0576,"(6, 23)",0.0577,HP
21,29,1,8,"T(1, 8, 21)",0.0132,"(1, 22)",0.0495,"(1, 21)",0.051,"(5, 28)",0.0622,HE
21,29,2,7,"T(2, 7, 21)",0.0128,"(1, 23)",0.0517,"(1, 22)",0.0527,"(5, 24)",0.0588,HE
21,29,3,6,"T(3, 6, 21)",0.0125,"(1, 24)",0.0538,"(1, 23)",0.0542,"(5, 24)",0.0567,HE
21,29,4,5,"T(4, 5, 21)",0.0124,"(1, 25)",0.0554,"(1, 24)",0.0553,"(5, 25)",0.0557,HP
21,30,1,9,"T(1, 9, 21)",0.0127,"(1, 22)",0.0473,"(1, 21)",0.049,"(5, 30)",0.0612,HE
21,30,2,8,"T(2, 8, 21)",0.0123,"(1, 23)",0.0493,"(1, 22)",0.0505,"(5, 28)",0.0576,HE
21,30,3,7,"T(3, 7, 21)",0.012,"(1, 24)",0.0513,"(1, 23)",0.0519,"(5, 28)",0.0552,HE
21,30,4,6,"T(4, 6, 21)",0.0118,"(1, 25)",0.053,"(1, 24)",0.0531,"(6, 24)",0.0541,HE
21,30,5,5,"T(5, 5, 21)",0.0117,"(1, 26)",0.0538,"(1, 25)",0.0537,"(1, 30)",0.0538,HP
21,31,1,10,"T(1, 10, 21)",0.0123,"(1, 22)",0.0455,"(1, 21)",0.0473,"(5, 21)",0.0601,HE
21,31,2,9,"T(2, 9, 21)",0.0118,"(1, 23)",0.0472,"(1, 22)",0.0486,"(6, 22)",0.0565,HE
21,31,3,8,"T(3, 8, 21)",0.0115,"(1, 24)",0.0491,"(1, 23)",0.0499,"(6, 23)",0.0544,HE
21,31,4,7,"T(4, 7, 21)",0.0112,"(1, 25)",0.0508,"(1, 24)",0.0511,"(6, 24)",0.053,HE
21,31,5,6,"T(5, 6, 21)",0.0111,"(1, 26)",0.052,"(1, 25)",0.0519,"(6, 28)",0.0522,HP
21,32,1,11,"T(1, 11, 21)",0.0119,"(1, 22)",0.0439,"(1, 21)",0.0457,"(6, 21)",0.0593,HE
21,32,2,10,"T(2, 10, 21)",0.0114,"(1, 23)",0.0454,"(1, 22)",0.047,"(6, 22)",0.056,HE
21,32,3,9,"T(3, 9, 21)",0.011,"(1, 24)",0.0471,"(1, 23)",0.0482,"(6, 23)",0.0536,HE
21,32,4,8,"T(4, 8, 21)",0.0108,"(1, 25)",0.0488,"(1, 24)",0.0493,"(6, 30)",0.0519,HE
21,32,5,7,"T(5, 7, 21)",0.0106,"(1, 26)",0.0502,"(1, 25)",0.0502,"(7, 25)",0.0509,Iguais
21,32,6,6,"T(6, 6, 21)",0.0106,"(1, 27)",0.0508,"(1, 26)",0.0507,"(6, 30)",0.0508,HP
21,33,1,12,"T(1, 12, 21)",0.0116,"(1, 22)",0.0424,"(1, 21)",0.0444,"(6, 21)",0.0591,HE
21,33,2,11,"T(2, 11, 21)",0.011,"(1, 23)",0.0438,"(1, 22)",0.0455,"(6, 22)",0.0555,HE
21,33,3,10,"T(3, 10, 21)",0.0106,"(1, 24)",0.0453,"(1, 23)",0.0466,"(6, 25)",0.0529,HE
21,33,4,9,"T(4, 9, 21)",0.0104,"(1, 25)",0.0469,"(1, 24)",0.0477,"(6, 25)",0.0509,HE
21,33,5,8,"T(5, 8, 21)",0.0102,"(1, 26)",0.0484,"(1, 25)",0.0486,"(7, 25)",0.05,HE
21,33,6,7,"T(6, 7, 21)",0.0101,"(1, 27)",0.0493,"(1, 26)",0.0493,"(7, 33)",0.0495,Iguais
21,34,1,13,"T(1, 13, 21)",0.0112,"(1, 22)",0.0412,"(1, 21)",0.0431,"(6, 21)",0.0588,HE
21,34,2,12,"T(2, 12, 21)",0.0107,"(1, 23)",0.0424,"(1, 22)",0.0442,"(6, 22)",0.0551,HE
21,34,3,11,"T(3, 11, 21)",0.0103,"(1, 24)",0.0438,"(1, 23)",0.0452,"(6, 30)",0.0522,HE
21,34,4,10,"T(4, 10, 21)",0.01,"(1, 25)",0.0452,"(1, 24)",0.0463,"(7, 24)",0.0502,HE
21,34,5,9,"T(5, 9, 21)",0.0098,"(1, 26)",0.0467,"(1, 25)",0.0472,"(7, 27)",0.0492,HE
21,34,6,8,"T(6, 8, 21)",0.0097,"(1, 27)",0.0478,"(1, 26)",0.0479,"(7, 32)",0.0483,HE
21,34,7,7,"T(7, 7, 21)",0.0096,"(1, 28)",0.0483,"(1, 27)",0.0483,"(1, 30)",0.0483,Iguais
21,35,1,14,"T(1, 14, 21)",0.011,"(1, 22)",0.04,"(1, 21)",0.042,"(6, 21)",0.0585,HE
21,35,2,13,"T(2, 13, 21)",0.0104,"(1, 23)",0.0411,"(1, 22)",0.043,"(6, 31)",0.0546,HE
21,35,3,12,"T(3, 12, 21)",0.01,"(1, 24)",0.0424,"(1, 23)",0.044,"(6, 23)",0.0514,HE
21,35,4,11,"T(4, 11, 21)",0.0097,"(1, 25)",0.0437,"(1, 24)",0.0449,"(7, 24)",0.0498,HE
21,35,5,10,"T(5, 10, 21)",0.0094,"(1, 26)",0.0451,"(1, 25)",0.0459,"(7, 26)",0.0485,HE
21,35,6,9,"T(6, 9, 21)",0.0093,"(1, 27)",0.0463,"(1, 26)",0.0466,"(8, 26)",0.0476,HE
21,35,7,8,"T(7, 8, 21)",0.0092,"(1, 28)",0.0472,"(1, 27)",0.0471,"(8, 35)",0.0473,HP
21,36,1,15,"T(1, 15, 21)",0.0107,"(1, 22)",0.039,"(1, 21)",0.0411,"(6, 21)",0.0582,HE
21,36,2,14,"T(2, 14, 21)",0.0102,"(1, 23)",0.04,"(1, 22)",0.0419,"(6, 22)",0.0541,HE
21,36,3,13,"T(3, 13, 21)",0.0097,"(1, 24)",0.0411,"(1, 23)",0.0428,"(6, 23)",0.0508,HE
21,36,4,12,"T(4, 12, 21)",0.0094,"(1, 25)",0.0423,"(1, 24)",0.0438,"(7, 24)",0.0494,HE
21,36,5,11,"T(5, 11, 21)",0.0091,"(1, 26)",0.0436,"(1, 25)",0.0446,"(7, 32)",0.0477,HE
21,36,6,10,"T(6, 10, 21)",0.009,"(1, 27)",0.0449,"(1, 26)",0.0454,"(8, 26)",0.047,HE
21,36,7,9,"T(7, 9, 21)",0.0089,"(1, 28)",0.0459,"(1, 27)",0.046,"(8, 36)",0.0464,HE
21,36,8,8,"T(8, 8, 21)",0.0088,"(1, 29)",0.0464,"(1, 28)",0.0464,"(2, 35)",0.0464,Iguais
21,37,1,16,"T(1, 16, 21)",0.0105,"(1, 22)",0.0381,"(1, 21)",0.0402,"(6, 21)",0.0579,HE
21,37,2,15,"T(2, 15, 21)",0.0099,"(1, 23)",0.039,"(1, 22)",0.041,"(6, 22)",0.0536,HE
21,37,3,14,"T(3, 14, 21)",0.0095,"(1, 24)",0.04,"(1, 23)",0.0418,"(7, 23)",0.0505,HE
21,37,4,13,"T(4, 13, 21)",0.0091,"(1, 25)",0.0411,"(1, 24)",0.0427,"(7, 29)",0.0489,HE
21,37,5,12,"T(5, 12, 21)",0.0089,"(1, 26)",0.0423,"(1, 25)",0.0435,"(7, 25)",0.047,HE
21,37,6,11,"T(6, 11, 21)",0.0087,"(1, 27)",0.0435,"(1, 26)",0.0443,"(8, 35)",0.0465,HE
21,37,7,10,"T(7, 10, 21)",0.0085,"(1, 28)",0.0447,"(1, 27)",0.0449,"(9, 27)",0.0456,HE
21,37,8,9,"T(8, 9, 21)",0.0085,"(1, 29)",0.0454,"(1, 28)",0.0454,"(9, 32)",0.0455,Iguais
21,38,1,17,"T(1, 17, 21)",0.0103,"(1, 22)",0.0372,"(1, 21)",0.0394,"(6, 21)",0.0575,HE
21,38,2,16,"T(2, 16, 21)",0.0097,"(1, 23)",0.0381,"(1, 22)",0.0401,"(6, 22)",0.0531,HE
21,38,3,15,"T(3, 15, 21)",0.0093,"(1, 24)",0.039,"(1, 23)",0.0409,"(7, 23)",0.0504,HE
21,38,4,14,"T(4, 14, 21)",0.0089,"(1, 25)",0.04,"(1, 24)",0.0417,"(7, 31)",0.0485,HE
21,38,5,13,"T(5, 13, 21)",0.0086,"(1, 26)",0.0411,"(1, 25)",0.0425,"(8, 25)",0.0467,HE
21,38,6,12,"T(6, 12, 21)",0.0084,"(1, 27)",0.0423,"(1, 26)",0.0433,"(8, 38)",0.0459,HE
21,38,7,11,"T(7, 11, 21)",0.0083,"(1, 28)",0.0434,"(1, 27)",0.0439,"(9, 27)",0.0452,HE
21,38,8,10,"T(8, 10, 21)",0.0082,"(1, 29)",0.0443,"(1, 28)",0.0444,"(9, 31)",0.0447,HE
21,38,9,9,"T(9, 9, 21)",0.0081,"(1, 30)",0.0447,"(1, 29)",0.0447,"(9, 33)",0.0447,Iguais
21,39,1,18,"T(1, 18, 21)",0.0101,"(1, 22)",0.0365,"(1, 21)",0.0386,"(6, 21)",0.0572,HE
21,39,2,17,"T(2, 17, 21)",0.0095,"(1, 23)",0.0372,"(1, 22)",0.0393,"(6, 22)",0.0526,HE
21,39,3,16,"T(3, 16, 21)",0.0091,"(1, 24)",0.0381,"(1, 23)",0.04,"(7, 23)",0.0502,HE
21,39,4,15,"T(4, 15, 21)",0.0087,"(1, 25)",0.039,"(1, 24)",0.0408,"(7, 24)",0.048,HE
21,39,5,14,"T(5, 14, 21)",0.0084,"(1, 26)",0.04,"(1, 25)",0.0416,"(8, 25)",0.0465,HE
21,39,6,13,"T(6, 13, 21)",0.0082,"(1, 27)",0.0411,"(1, 26)",0.0423,"(8, 26)",0.0454,HE
21,39,7,12,"T(7, 12, 21)",0.008,"(1, 28)",0.0422,"(1, 27)",0.043,"(9, 27)",0.0448,HE
21,39,8,11,"T(8, 11, 21)",0.0079,"(1, 29)",0.0432,"(1, 28)",0.0435,"(9, 28)",0.0439,HE
21,39,9,10,"T(9, 10, 21)",0.0079,"(1, 30)",0.0439,"(1, 29)",0.0439,"(10, 37)",0.044,Iguais
21,40,1,19,"T(1, 19, 21)",0.0099,"(1, 22)",0.0358,"(1, 21)",0.0379,"(6, 21)",0.0568,HE
21,40,2,18,"T(2, 18, 21)",0.0093,"(1, 23)",0.0365,"(1, 22)",0.0386,"(6, 22)",0.0521,HE
21,40,3,17,"T(3, 17, 21)",0.0089,"(1, 24)",0.0372,"(1, 23)",0.0393,"(7, 23)",0.05,HE
21,40,4,16,"T(4, 16, 21)",0.0085,"(1, 25)",0.0381,"(1, 24)",0.04,"(7, 24)",0.0476,HE
21,40,5,15,"T(5, 15, 21)",0.0082,"(1, 26)",0.039,"(1, 25)",0.0407,"(8, 25)",0.0462,HE
21,40,6,14,"T(6, 14, 21)",0.008,"(1, 27)",0.04,"(1, 26)",0.0414,"(8, 26)",0.0448,HE
21,40,7,13,"T(7, 13, 21)",0.0078,"(1, 28)",0.0411,"(1, 27)",0.0421,"(9, 27)",0.0443,HE
21,40,8,12,"T(8, 12, 21)",0.0077,"(1, 29)",0.0421,"(1, 28)",0.0427,"(10, 28)",0.0436,HE
21,40,9,11,"T(9, 11, 21)",0.0076,"(1, 30)",0.043,"(1, 29)",0.0431,"(10, 31)",0.0434,HE
21,40,10,10,"T(10, 10, 21)",0.0076,"(1, 31)",0.0434,"(1, 30)",0.0434,"(1, 36)",0.0434,Iguais
