D,N,K,L,Grafo Original,Conectividade Algebrica,Arestas Forca Bruta,Conectividade Aumentada Forca Bruta,Lista de Conectividades
49,97,1,48,"T(1, 48, 49)",0.0017484252026699128,"[(14, 97), (14, 49), (15, 48)]",0.010244666995842132,"[0.010244666995842132, 0.010244503485236204, 0.01024377971352709]"
49,98,1,49,"T(1, 49, 49)",0.0017368443274455171,"[(14, 98), (14, 49), (15, 48)]",0.010227895747825184,"[0.010227895747825184, 0.010227838153953938, 0.010224908803073458]"
56,112,1,56,"T(1, 56, 56)",0.0013276854236237974,"[(15, 56), (16, 112), (16, 56), (17, 55), (17, 56)]",0.0077448098299890723,"[0.0077448098299890723, 0.0078160469096551308, 0.0078159694791873121, 0.0078157362710800024, 0.0077353002317848123]"
