D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
5,7,1,2,"T(1, 2, 5)",0.2254,"(1, 6)",0.5858,"(1, 5)",0.6086,"(1, 5)",0.6086,HE
5,8,1,3,"T(1, 3, 5)",0.2023,"(1, 6)",0.4965,"(1, 5)",0.5607,"(1, 5)",0.5607,HE
5,8,2,2,"T(2, 2, 5)",0.1864,"(1, 7)",0.4384,"(1, 6)",0.4484,"(3, 6)",0.5107,HE
5,9,1,4,"T(1, 4, 5)",0.1876,"(1, 6)",0.4484,"(1, 5)",0.53,"(1, 5)",0.53,HE
5,9,2,3,"T(2, 3, 5)",0.1649,"(1, 7)",0.3749,"(1, 6)",0.4083,"(3, 6)",0.4672,HE
5,10,1,5,"T(1, 5, 5)",0.1775,"(1, 6)",0.4175,"(1, 5)",0.5085,"(1, 5)",0.5085,HE
5,10,2,4,"T(2, 4, 5)",0.1512,"(1, 7)",0.3378,"(1, 6)",0.382,"(3, 6)",0.4384,HE
5,10,3,3,"T(3, 3, 5)",0.1442,"(1, 8)",0.3187,"(1, 7)",0.3436,"(4, 7)",0.422,HE
5,11,1,6,"T(1, 6, 5)",0.17,"(1, 6)",0.3959,"(1, 5)",0.4926,"(1, 5)",0.4926,HE
5,11,2,5,"T(2, 5, 5)",0.1417,"(1, 7)",0.3132,"(1, 6)",0.3633,"(3, 6)",0.4179,HE
5,11,3,4,"T(3, 4, 5)",0.131,"(1, 8)",0.2852,"(1, 7)",0.3183,"(4, 7)",0.392,HE
5,12,1,7,"T(1, 7, 5)",0.1643,"(1, 6)",0.3799,"(1, 5)",0.4802,"(1, 5)",0.4802,HE
5,12,2,6,"T(2, 6, 5)",0.1347,"(1, 7)",0.2956,"(1, 6)",0.3493,"(3, 6)",0.4024,HE
5,12,3,5,"T(3, 5, 5)",0.1217,"(1, 8)",0.2627,"(1, 7)",0.3002,"(4, 7)",0.3705,HE
5,12,4,4,"T(4, 4, 5)",0.118,"(1, 9)",0.2534,"(1, 8)",0.2811,"(5, 8)",0.361,HE
5,13,1,8,"T(1, 8, 5)",0.1597,"(1, 6)",0.3675,"(1, 5)",0.4704,"(1, 5)",0.4704,HE
5,13,2,7,"T(2, 7, 5)",0.1293,"(1, 7)",0.2824,"(1, 6)",0.3383,"(3, 6)",0.3904,HE
5,13,3,6,"T(3, 6, 5)",0.1149,"(1, 8)",0.2465,"(1, 7)",0.2866,"(4, 7)",0.3542,HE
5,13,4,5,"T(4, 5, 5)",0.1089,"(1, 9)",0.232,"(1, 8)",0.2633,"(5, 8)",0.3388,HE
5,14,1,9,"T(1, 9, 5)",0.1561,"(1, 6)",0.3575,"(1, 5)",0.4624,"(1, 5)",0.4624,HE
5,14,2,8,"T(2, 8, 5)",0.125,"(1, 7)",0.272,"(1, 6)",0.3296,"(3, 6)",0.3807,HE
5,14,3,7,"T(3, 7, 5)",0.1097,"(1, 8)",0.2342,"(1, 7)",0.276,"(4, 7)",0.3416,HE
5,14,4,6,"T(4, 6, 5)",0.1022,"(1, 9)",0.2166,"(1, 8)",0.2498,"(5, 8)",0.3221,HE
5,14,5,5,"T(5, 5, 5)",0.0999,"(1, 10)",0.2113,"(1, 9)",0.2387,"(6, 9)",0.3161,HE
5,15,1,10,"T(1, 10, 5)",0.153,"(1, 6)",0.3494,"(1, 5)",0.4557,"(1, 5)",0.4557,HE
5,15,2,9,"T(2, 9, 5)",0.1215,"(1, 7)",0.2637,"(1, 6)",0.3224,"(3, 6)",0.3727,HE
5,15,3,8,"T(3, 8, 5)",0.1055,"(1, 8)",0.2246,"(1, 7)",0.2675,"(4, 7)",0.3314,HE
5,15,4,7,"T(4, 7, 5)",0.097,"(1, 9)",0.2048,"(1, 8)",0.2394,"(5, 8)",0.309,HE
5,15,5,6,"T(5, 6, 5)",0.0933,"(1, 10)",0.1963,"(1, 9)",0.2254,"(6, 9)",0.299,HE
5,16,1,11,"T(1, 11, 5)",0.1505,"(1, 6)",0.3427,"(1, 5)",0.45,"(1, 5)",0.45,HE
5,16,2,10,"T(2, 10, 5)",0.1186,"(1, 7)",0.2569,"(1, 6)",0.3164,"(3, 6)",0.3661,HE
5,16,3,9,"T(3, 9, 5)",0.1021,"(1, 8)",0.2169,"(1, 7)",0.2605,"(4, 7)",0.323,HE
5,16,4,8,"T(4, 8, 5)",0.093,"(1, 9)",0.1956,"(1, 8)",0.2309,"(5, 8)",0.2984,HE
5,16,5,7,"T(5, 7, 5)",0.0882,"(1, 10)",0.1848,"(1, 9)",0.2149,"(6, 9)",0.2855,HE
5,16,6,6,"T(6, 6, 5)",0.0868,"(1, 11)",0.1815,"(1, 10)",0.2078,"(7, 10)",0.2815,HE
5,17,1,12,"T(1, 12, 5)",0.1483,"(1, 6)",0.337,"(1, 5)",0.4452,"(1, 5)",0.4452,HE
5,17,2,11,"T(2, 11, 5)",0.1162,"(1, 7)",0.2512,"(1, 6)",0.3114,"(3, 6)",0.3604,HE
5,17,3,10,"T(3, 10, 5)",0.0993,"(1, 8)",0.2105,"(1, 7)",0.2547,"(4, 7)",0.316,HE
5,17,4,9,"T(4, 9, 5)",0.0896,"(1, 9)",0.1882,"(1, 8)",0.224,"(5, 8)",0.2898,HE
5,17,5,8,"T(5, 8, 5)",0.0842,"(1, 10)",0.1759,"(1, 9)",0.2065,"(6, 9)",0.2747,HE
5,17,6,7,"T(6, 7, 5)",0.0817,"(1, 11)",0.1703,"(1, 10)",0.1974,"(7, 10)",0.2678,HE
5,18,1,13,"T(1, 13, 5)",0.1464,"(1, 6)",0.3321,"(1, 5)",0.441,"(1, 5)",0.441,HE
5,18,2,12,"T(2, 12, 5)",0.1141,"(1, 7)",0.2463,"(1, 6)",0.307,"(3, 6)",0.3555,HE
5,18,3,11,"T(3, 11, 5)",0.097,"(1, 8)",0.2052,"(1, 7)",0.2497,"(4, 7)",0.31,HE
5,18,4,10,"T(4, 10, 5)",0.0869,"(1, 9)",0.182,"(1, 8)",0.2182,"(5, 8)",0.2825,HE
5,18,5,9,"T(5, 9, 5)",0.0809,"(1, 10)",0.1686,"(1, 9)",0.1997,"(6, 9)",0.2658,HE
5,18,6,8,"T(6, 8, 5)",0.0777,"(1, 11)",0.1615,"(1, 10)",0.189,"(7, 10)",0.2568,HE
5,18,7,7,"T(7, 7, 5)",0.0767,"(1, 12)",0.1593,"(1, 11)",0.1842,"(8, 11)",0.2539,HE
5,19,1,14,"T(1, 14, 5)",0.1448,"(1, 6)",0.3279,"(1, 5)",0.4373,"(1, 5)",0.4373,HE
5,19,2,13,"T(2, 13, 5)",0.1123,"(1, 7)",0.2421,"(1, 6)",0.3032,"(3, 6)",0.3513,HE
5,19,3,12,"T(3, 12, 5)",0.0949,"(1, 8)",0.2006,"(1, 7)",0.2454,"(4, 7)",0.3049,HE
5,19,4,11,"T(4, 11, 5)",0.0845,"(1, 9)",0.1769,"(1, 8)",0.2133,"(5, 8)",0.2763,HE
5,19,5,10,"T(5, 10, 5)",0.0782,"(1, 10)",0.1626,"(1, 9)",0.1939,"(6, 9)",0.2583,HE
5,19,6,9,"T(6, 9, 5)",0.0744,"(1, 11)",0.1544,"(1, 10)",0.1822,"(7, 10)",0.2477,HE
5,19,7,8,"T(7, 8, 5)",0.0727,"(1, 12)",0.1506,"(1, 11)",0.1758,"(8, 11)",0.2427,HE
5,20,1,15,"T(1, 15, 5)",0.1433,"(1, 6)",0.3241,"(1, 5)",0.4341,"(1, 5)",0.4341,HE
5,20,2,14,"T(2, 14, 5)",0.1108,"(1, 7)",0.2385,"(1, 6)",0.2999,"(3, 6)",0.3476,HE
5,20,3,13,"T(3, 13, 5)",0.0932,"(1, 8)",0.1967,"(1, 7)",0.2417,"(4, 7)",0.3005,HE
5,20,4,12,"T(4, 12, 5)",0.0826,"(1, 9)",0.1725,"(1, 8)",0.2091,"(5, 8)",0.271,HE
5,20,5,11,"T(5, 11, 5)",0.0758,"(1, 10)",0.1576,"(1, 9)",0.189,"(6, 9)",0.252,HE
5,20,6,10,"T(6, 10, 5)",0.0717,"(1, 11)",0.1485,"(1, 10)",0.1764,"(7, 10)",0.2401,HE
5,20,7,9,"T(7, 9, 5)",0.0694,"(1, 12)",0.1436,"(1, 11)",0.1689,"(8, 11)",0.2334,HE
5,20,8,8,"T(8, 8, 5)",0.0687,"(1, 13)",0.142,"(1, 12)",0.1654,"(9, 12)",0.2313,HE
