D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
9,11,1,2,"T(1, 2, 9)",0.0842,"(1, 10)",0.2968,"(1, 9)",0.2935,"(2, 10)",0.3418,HP
9,12,1,3,"T(1, 3, 9)",0.0752,"(1, 10)",0.2517,"(1, 9)",0.2604,"(2, 9)",0.3057,HE
9,12,2,2,"T(2, 2, 9)",0.0725,"(1, 11)",0.2679,"(1, 10)",0.2882,"(3, 10)",0.3249,HE
9,13,1,4,"T(1, 4, 9)",0.0689,"(1, 10)",0.2236,"(1, 9)",0.2382,"(3, 9)",0.2824,HE
9,13,2,3,"T(2, 3, 9)",0.0648,"(1, 11)",0.2318,"(1, 10)",0.2538,"(3, 10)",0.3028,HE
9,14,1,5,"T(1, 5, 9)",0.0643,"(1, 10)",0.2043,"(1, 9)",0.2222,"(3, 9)",0.2727,HE
9,14,2,4,"T(2, 4, 9)",0.0592,"(1, 11)",0.2062,"(1, 10)",0.2306,"(3, 10)",0.2813,HE
9,14,3,3,"T(3, 3, 9)",0.0577,"(1, 12)",0.2071,"(1, 11)",0.24,"(4, 11)",0.2955,HE
9,15,1,6,"T(1, 6, 9)",0.0607,"(1, 10)",0.1902,"(1, 9)",0.21,"(3, 9)",0.2625,HE
9,15,2,5,"T(2, 5, 9)",0.0551,"(1, 11)",0.188,"(1, 10)",0.2139,"(3, 10)",0.2636,HE
9,15,3,4,"T(3, 4, 9)",0.0527,"(1, 12)",0.1864,"(1, 11)",0.2183,"(4, 11)",0.2806,HE
9,16,1,7,"T(1, 7, 9)",0.0579,"(1, 10)",0.1794,"(1, 9)",0.2005,"(3, 9)",0.2531,HE
9,16,2,6,"T(2, 6, 9)",0.052,"(1, 11)",0.1745,"(1, 10)",0.2012,"(3, 10)",0.2494,HE
9,16,3,5,"T(3, 5, 9)",0.0489,"(1, 12)",0.1706,"(1, 11)",0.2021,"(4, 11)",0.2635,HE
9,16,4,4,"T(4, 4, 9)",0.0479,"(1, 13)",0.1692,"(1, 12)",0.2027,"(5, 12)",0.2774,HE
9,17,1,8,"T(1, 8, 9)",0.0556,"(1, 10)",0.1709,"(1, 9)",0.1928,"(3, 9)",0.2449,HE
9,17,2,7,"T(2, 7, 9)",0.0495,"(1, 11)",0.1641,"(1, 10)",0.1913,"(3, 10)",0.238,HE
9,17,3,6,"T(3, 6, 9)",0.046,"(1, 12)",0.1586,"(1, 11)",0.1896,"(4, 11)",0.2488,HE
9,17,4,5,"T(4, 5, 9)",0.0444,"(1, 13)",0.1555,"(1, 12)",0.1882,"(5, 12)",0.2634,HE
9,18,1,9,"T(1, 9, 9)",0.0538,"(1, 10)",0.164,"(1, 9)",0.1865,"(3, 9)",0.2377,HE
9,18,2,8,"T(2, 8, 9)",0.0474,"(1, 11)",0.1559,"(1, 10)",0.1833,"(3, 10)",0.2287,HE
9,18,3,7,"T(3, 7, 9)",0.0437,"(1, 12)",0.1491,"(1, 11)",0.1798,"(4, 11)",0.2366,HE
9,18,4,6,"T(4, 6, 9)",0.0416,"(1, 13)",0.1447,"(1, 12)",0.1767,"(5, 12)",0.2473,HE
9,18,5,5,"T(5, 5, 9)",0.041,"(1, 14)",0.1432,"(1, 13)",0.1749,"(6, 13)",0.2596,HE
9,19,1,10,"T(1, 10, 9)",0.0522,"(1, 10)",0.1583,"(1, 9)",0.1812,"(3, 9)",0.2315,HE
9,19,2,9,"T(2, 9, 9)",0.0457,"(1, 11)",0.1492,"(1, 10)",0.1767,"(3, 10)",0.2209,HE
9,19,3,8,"T(3, 8, 9)",0.0418,"(1, 12)",0.1415,"(1, 11)",0.1718,"(4, 11)",0.2266,HE
9,19,4,7,"T(4, 7, 9)",0.0395,"(1, 13)",0.1361,"(1, 12)",0.1675,"(5, 12)",0.2341,HE
9,19,5,6,"T(5, 6, 9)",0.0384,"(1, 14)",0.1334,"(1, 13)",0.1645,"(6, 13)",0.243,HE
9,20,1,11,"T(1, 11, 9)",0.0508,"(1, 10)",0.1535,"(1, 9)",0.1767,"(3, 9)",0.2261,HE
9,20,2,10,"T(2, 10, 9)",0.0443,"(1, 11)",0.1437,"(1, 10)",0.1712,"(3, 10)",0.2143,HE
9,20,3,9,"T(3, 9, 9)",0.0402,"(1, 12)",0.1353,"(1, 11)",0.1653,"(4, 11)",0.2183,HE
9,20,4,8,"T(4, 8, 9)",0.0377,"(1, 13)",0.1291,"(1, 12)",0.1599,"(5, 12)",0.2233,HE
9,20,5,7,"T(5, 7, 9)",0.0363,"(1, 14)",0.1254,"(1, 13)",0.1559,"(6, 13)",0.2291,HE
9,20,6,6,"T(6, 6, 9)",0.0359,"(1, 15)",0.1242,"(1, 14)",0.1538,"(7, 14)",0.2328,HE
