D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
31,61,1,30,"T(1, 30, 31)",0.0044,"(1, 32)",0.0165,"(1, 31)",0.0172,"(9, 59)",0.0258,HE
31,62,1,31,"T(1, 31, 31)",0.0044,"(1, 32)",0.0163,"(1, 31)",0.017,"(9, 31)",0.0258,HE
32,63,1,31,"T(1, 31, 32)",0.0041,"(1, 33)",0.0155,"(1, 32)",0.0161,"(9, 32)",0.0241,HE
32,64,1,32,"T(1, 32, 32)",0.0041,"(1, 33)",0.0153,"(1, 32)",0.016,"(9, 32)",0.0241,HE
33,65,1,32,"T(1, 32, 33)",0.0039,"(1, 34)",0.0146,"(1, 33)",0.0152,"(10, 33)",0.0226,HE
33,66,1,33,"T(1, 33, 33)",0.0039,"(1, 34)",0.0144,"(1, 33)",0.015,"(10, 33)",0.0226,HE
34,67,1,33,"T(1, 33, 34)",0.0037,"(1, 35)",0.0138,"(1, 34)",0.0143,"(10, 34)",0.0214,HE
34,68,1,34,"T(1, 34, 34)",0.0036,"(1, 35)",0.0136,"(1, 34)",0.0142,"(10, 34)",0.0214,HE
35,69,1,34,"T(1, 34, 35)",0.0035,"(1, 36)",0.013,"(1, 35)",0.0135,"(10, 35)",0.0202,HE
35,70,1,35,"T(1, 35, 35)",0.0034,"(1, 36)",0.0129,"(1, 35)",0.0134,"(10, 35)",0.0201,HE
36,71,1,35,"T(1, 35, 36)",0.0033,"(1, 37)",0.0123,"(1, 36)",0.0127,"(10, 36)",0.019,HE
36,72,1,36,"T(1, 36, 36)",0.0032,"(1, 37)",0.0122,"(1, 36)",0.0126,"(10, 36)",0.0189,HE
37,73,1,36,"T(1, 36, 37)",0.0031,"(1, 38)",0.0117,"(1, 37)",0.0121,"(11, 37)",0.018,HE
37,74,1,37,"T(1, 37, 37)",0.0031,"(1, 38)",0.0115,"(1, 37)",0.012,"(11, 37)",0.018,HE
38,75,1,37,"T(1, 37, 38)",0.0029,"(1, 39)",0.0111,"(1, 38)",0.0114,"(11, 38)",0.0171,HE
38,76,1,38,"T(1, 38, 38)",0.0029,"(1, 39)",0.011,"(1, 38)",0.0113,"(11, 71)",0.0171,HE
39,77,1,38,"T(1, 38, 39)",0.0028,"(1, 40)",0.0105,"(1, 39)",0.0109,"(11, 39)",0.0162,HE
39,78,1,39,"T(1, 39, 39)",0.0028,"(1, 40)",0.0104,"(1, 39)",0.0108,"(11, 39)",0.0162,HE
40,79,1,39,"T(1, 39, 40)",0.0026,"(1, 41)",0.01,"(1, 40)",0.0103,"(12, 40)",0.0154,HE
40,80,1,40,"T(1, 40, 40)",0.0026,"(1, 41)",0.0099,"(1, 40)",0.0102,"(12, 40)",0.0153,HE
41,81,1,40,"T(1, 40, 41)",0.0025,"(1, 42)",0.0095,"(1, 41)",0.0098,"(12, 41)",0.0147,HE
41,82,1,41,"T(1, 41, 41)",0.0025,"(1, 42)",0.0094,"(1, 41)",0.0098,"(12, 41)",0.0146,HE
42,83,1,41,"T(1, 41, 42)",0.0024,"(1, 43)",0.0091,"(1, 42)",0.0094,"(12, 44)",0.014,HE
42,84,1,42,"T(1, 42, 42)",0.0024,"(1, 43)",0.009,"(1, 42)",0.0093,"(12, 42)",0.014,HE
43,85,1,42,"T(1, 42, 43)",0.0023,"(1, 44)",0.0087,"(1, 43)",0.0089,"(12, 43)",0.0133,HE
43,86,1,43,"T(1, 43, 43)",0.0023,"(1, 44)",0.0086,"(1, 43)",0.0089,"(12, 43)",0.0133,HE
44,87,1,43,"T(1, 43, 44)",0.0022,"(1, 45)",0.0083,"(1, 44)",0.0085,"(13, 44)",0.0127,HE
44,88,1,44,"T(1, 44, 44)",0.0022,"(1, 45)",0.0082,"(1, 44)",0.0085,"(13, 44)",0.0127,HE
45,89,1,44,"T(1, 44, 45)",0.0021,"(1, 46)",0.0079,"(1, 45)",0.0082,"(13, 45)",0.0122,HE
45,90,1,45,"T(1, 45, 45)",0.0021,"(1, 46)",0.0079,"(1, 45)",0.0081,"(13, 45)",0.0121,HE
