D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
10,12,1,2,"T(1, 2, 10)",0.0702,"(1, 11)",0.2545,"(1, 10)",0.2517,"(2, 12)",0.2923,HP
10,13,1,3,"T(1, 3, 10)",0.0629,"(1, 11)",0.2179,"(1, 10)",0.2236,"(3, 10)",0.2679,HE
10,13,2,2,"T(2, 2, 10)",0.0611,"(1, 12)",0.2392,"(1, 11)",0.2515,"(3, 11)",0.2679,HE
10,14,1,4,"T(1, 4, 10)",0.0577,"(1, 11)",0.194,"(1, 10)",0.2043,"(3, 10)",0.2679,HE
10,14,2,3,"T(2, 3, 10)",0.0547,"(1, 12)",0.2081,"(1, 11)",0.2223,"(3, 11)",0.2505,HE
10,15,1,5,"T(1, 5, 10)",0.0538,"(1, 11)",0.1773,"(1, 10)",0.1902,"(3, 10)",0.2629,HE
10,15,2,4,"T(2, 4, 10)",0.0502,"(1, 12)",0.185,"(1, 11)",0.2021,"(3, 11)",0.2345,HE
10,15,3,3,"T(3, 3, 10)",0.049,"(1, 13)",0.1899,"(1, 12)",0.2185,"(4, 12)",0.2418,HE
10,16,1,6,"T(1, 6, 10)",0.0508,"(1, 11)",0.1649,"(1, 10)",0.1794,"(3, 10)",0.247,HE
10,16,2,5,"T(2, 5, 10)",0.0467,"(1, 12)",0.1685,"(1, 11)",0.1873,"(3, 11)",0.2209,HE
10,16,3,4,"T(3, 4, 10)",0.0449,"(1, 13)",0.1715,"(1, 12)",0.1978,"(4, 12)",0.2309,HE
10,17,1,7,"T(1, 7, 10)",0.0483,"(1, 11)",0.1553,"(1, 10)",0.1709,"(3, 10)",0.2346,HE
10,17,2,6,"T(2, 6, 10)",0.044,"(1, 12)",0.1561,"(1, 11)",0.176,"(3, 11)",0.2097,HE
10,17,3,5,"T(3, 5, 10)",0.0417,"(1, 13)",0.1569,"(1, 12)",0.1825,"(4, 12)",0.2198,HE
10,17,4,4,"T(4, 4, 10)",0.041,"(1, 14)",0.1572,"(1, 13)",0.1891,"(5, 13)",0.2254,HE
10,18,1,8,"T(1, 8, 10)",0.0464,"(1, 11)",0.1477,"(1, 10)",0.164,"(3, 10)",0.2246,HE
10,18,2,7,"T(2, 7, 10)",0.0418,"(1, 12)",0.1466,"(1, 11)",0.167,"(3, 11)",0.2005,HE
10,18,3,6,"T(3, 6, 10)",0.0392,"(1, 13)",0.1455,"(1, 12)",0.1708,"(4, 12)",0.2095,HE
10,18,4,5,"T(4, 5, 10)",0.038,"(1, 14)",0.1448,"(1, 13)",0.1749,"(5, 13)",0.2178,HE
10,19,1,9,"T(1, 9, 10)",0.0447,"(1, 11)",0.1415,"(1, 10)",0.1583,"(3, 10)",0.2164,HE
10,19,2,8,"T(2, 8, 10)",0.0401,"(1, 12)",0.139,"(1, 11)",0.1598,"(3, 11)",0.1928,HE
10,19,3,7,"T(3, 7, 10)",0.0372,"(1, 13)",0.1365,"(1, 12)",0.1616,"(4, 12)",0.2005,HE
10,19,4,6,"T(4, 6, 10)",0.0357,"(1, 14)",0.1347,"(1, 13)",0.1636,"(5, 13)",0.209,HE
10,19,5,5,"T(5, 5, 10)",0.0352,"(1, 15)",0.1341,"(1, 14)",0.165,"(6, 14)",0.2142,HE
10,20,1,10,"T(1, 10, 10)",0.0434,"(1, 11)",0.1364,"(1, 10)",0.1535,"(3, 10)",0.2096,HE
10,20,2,9,"T(2, 9, 10)",0.0386,"(1, 12)",0.1328,"(1, 11)",0.1538,"(3, 11)",0.1863,HE
10,20,3,8,"T(3, 8, 10)",0.0356,"(1, 13)",0.1293,"(1, 12)",0.1541,"(4, 12)",0.1927,HE
10,20,4,7,"T(4, 7, 10)",0.0338,"(1, 14)",0.1266,"(1, 13)",0.1545,"(5, 13)",0.2005,HE
10,20,5,6,"T(5, 6, 10)",0.033,"(1, 15)",0.1251,"(1, 14)",0.1548,"(6, 14)",0.2082,HE
