D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
4,6,1,2,"T(1, 2, 4)",0.3249,"(1, 5)",0.6972,"(1, 4)",0.7639,"(1, 4)",0.7639,HE
4,7,1,3,"T(1, 3, 4)",0.2955,"(1, 5)",0.6086,"(1, 4)",0.7269,"(1, 4)",0.7269,HE
4,7,2,2,"T(2, 2, 4)",0.2679,"(1, 6)",0.5188,"(1, 5)",0.514,"(3, 5)",0.5505,HP
4,8,1,4,"T(1, 4, 4)",0.2774,"(1, 5)",0.5607,"(1, 4)",0.7029,"(1, 4)",0.7029,HE
4,8,2,3,"T(2, 3, 4)",0.2384,"(1, 6)",0.4484,"(1, 5)",0.4746,"(3, 5)",0.5069,HE
4,9,1,5,"T(1, 5, 4)",0.265,"(1, 5)",0.53,"(1, 4)",0.686,"(1, 4)",0.686,HE
4,9,2,4,"T(2, 4, 4)",0.2201,"(1, 6)",0.4083,"(1, 5)",0.4492,"(3, 5)",0.4791,HE
4,9,3,3,"T(3, 3, 4)",0.2087,"(1, 7)",0.382,"(1, 6)",0.397,"(4, 6)",0.4586,HE
4,10,1,6,"T(1, 6, 4)",0.256,"(1, 5)",0.5085,"(1, 4)",0.6734,"(1, 4)",0.6734,HE
4,10,2,5,"T(2, 5, 4)",0.2076,"(1, 6)",0.382,"(1, 5)",0.4313,"(3, 5)",0.4596,HE
4,10,3,4,"T(3, 4, 4)",0.1902,"(1, 7)",0.3436,"(1, 6)",0.3702,"(4, 6)",0.4276,HE
4,11,1,7,"T(1, 7, 4)",0.2492,"(1, 5)",0.4926,"(1, 4)",0.6637,"(1, 4)",0.6637,HE
4,11,2,6,"T(2, 6, 4)",0.1984,"(1, 6)",0.3633,"(1, 5)",0.418,"(3, 5)",0.4451,HE
4,11,3,5,"T(3, 5, 4)",0.1775,"(1, 7)",0.3183,"(1, 6)",0.3513,"(4, 6)",0.4058,HE
4,11,4,4,"T(4, 4, 4)",0.1716,"(1, 8)",0.306,"(1, 7)",0.3266,"(5, 7)",0.3944,HE
4,12,1,8,"T(1, 8, 4)",0.2438,"(1, 5)",0.4802,"(1, 4)",0.6559,"(1, 4)",0.6559,HE
4,12,2,7,"T(2, 7, 4)",0.1915,"(1, 6)",0.3493,"(1, 5)",0.4077,"(3, 5)",0.4339,HE
4,12,3,6,"T(3, 6, 4)",0.1683,"(1, 7)",0.3002,"(1, 6)",0.3373,"(4, 6)",0.3896,HE
4,12,4,5,"T(4, 5, 4)",0.1588,"(1, 8)",0.2811,"(1, 7)",0.3072,"(5, 7)",0.3711,HE
4,13,1,9,"T(1, 9, 4)",0.2394,"(1, 5)",0.4704,"(1, 4)",0.6495,"(1, 4)",0.6495,HE
4,13,2,8,"T(2, 8, 4)",0.186,"(1, 6)",0.3383,"(1, 5)",0.3995,"(3, 5)",0.4249,HE
4,13,3,7,"T(3, 7, 4)",0.1612,"(1, 7)",0.2866,"(1, 6)",0.3264,"(4, 6)",0.377,HE
4,13,4,6,"T(4, 6, 4)",0.1494,"(1, 8)",0.2633,"(1, 7)",0.2926,"(5, 7)",0.3537,HE
4,13,5,5,"T(5, 5, 4)",0.1459,"(1, 9)",0.2564,"(1, 8)",0.2785,"(6, 8)",0.3467,HE
4,14,1,10,"T(1, 10, 4)",0.2358,"(1, 5)",0.4624,"(1, 4)",0.6442,"(1, 4)",0.6442,HE
4,14,2,9,"T(2, 9, 4)",0.1815,"(1, 6)",0.3296,"(1, 5)",0.3927,"(3, 5)",0.4176,HE
4,14,3,8,"T(3, 8, 4)",0.1556,"(1, 7)",0.276,"(1, 6)",0.3176,"(4, 6)",0.367,HE
4,14,4,7,"T(4, 7, 4)",0.1423,"(1, 8)",0.2498,"(1, 7)",0.2814,"(5, 7)",0.3403,HE
4,14,5,6,"T(5, 6, 4)",0.1365,"(1, 9)",0.2387,"(1, 8)",0.2637,"(6, 8)",0.3285,HE
4,15,1,11,"T(1, 11, 4)",0.2328,"(1, 5)",0.4557,"(1, 4)",0.6397,"(1, 4)",0.6397,HE
4,15,2,10,"T(2, 10, 4)",0.1779,"(1, 6)",0.3224,"(1, 5)",0.3871,"(3, 5)",0.4116,HE
4,15,3,9,"T(3, 9, 4)",0.1511,"(1, 7)",0.2675,"(1, 6)",0.3105,"(4, 6)",0.3588,HE
4,15,4,8,"T(4, 8, 4)",0.1367,"(1, 8)",0.2394,"(1, 7)",0.2723,"(5, 7)",0.3295,HE
4,15,5,7,"T(5, 7, 4)",0.1293,"(1, 9)",0.2254,"(1, 8)",0.2522,"(6, 8)",0.3143,HE
4,15,6,6,"T(6, 6, 4)",0.127,"(1, 10)",0.2211,"(1, 9)",0.2433,"(7, 9)",0.3096,HE
4,16,1,12,"T(1, 12, 4)",0.2302,"(1, 5)",0.45,"(1, 4)",0.6359,"(1, 4)",0.6359,HE
4,16,2,11,"T(2, 11, 4)",0.1748,"(1, 6)",0.3164,"(1, 5)",0.3824,"(3, 5)",0.4064,HE
4,16,3,10,"T(3, 10, 4)",0.1474,"(1, 7)",0.2605,"(1, 6)",0.3046,"(4, 6)",0.352,HE
4,16,4,9,"T(4, 9, 4)",0.1321,"(1, 8)",0.2309,"(1, 7)",0.265,"(5, 7)",0.3207,HE
4,16,5,8,"T(5, 8, 4)",0.1236,"(1, 9)",0.2149,"(1, 8)",0.243,"(6, 8)",0.303,HE
4,16,6,7,"T(6, 7, 4)",0.1198,"(1, 10)",0.2078,"(1, 9)",0.2315,"(7, 9)",0.2949,HE
4,17,1,13,"T(1, 13, 4)",0.228,"(1, 5)",0.4452,"(1, 4)",0.6326,"(1, 4)",0.6326,HE
