D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
20,22,1,2,"T(1, 2, 20)",0.0205,"(1, 21)",0.0804,"(1, 20)",0.0801,"(3, 20)",0.0825,HP
20,23,1,3,"T(1, 3, 20)",0.0189,"(1, 21)",0.0735,"(1, 20)",0.0737,"(3, 23)",0.0781,HE
20,23,2,2,"T(2, 2, 20)",0.0188,"(1, 22)",0.0767,"(1, 21)",0.0765,"(3, 21)",0.0767,HP
20,24,1,4,"T(1, 4, 20)",0.0177,"(1, 21)",0.0678,"(1, 20)",0.0686,"(4, 20)",0.0749,HE
20,24,2,3,"T(2, 3, 20)",0.0174,"(1, 22)",0.0716,"(1, 21)",0.0713,"(3, 23)",0.0725,HP
20,25,1,5,"T(1, 5, 20)",0.0166,"(1, 21)",0.0632,"(1, 20)",0.0643,"(4, 25)",0.0726,HE
20,25,2,4,"T(2, 4, 20)",0.0163,"(1, 22)",0.0667,"(1, 21)",0.0668,"(4, 21)",0.0696,HE
20,25,3,3,"T(3, 3, 20)",0.0162,"(1, 23)",0.0686,"(1, 22)",0.0685,"(3, 25)",0.0686,HP
20,26,1,6,"T(1, 6, 20)",0.0158,"(1, 21)",0.0593,"(1, 20)",0.0607,"(4, 22)",0.0703,HE
20,26,2,5,"T(2, 5, 20)",0.0154,"(1, 22)",0.0625,"(1, 21)",0.0631,"(4, 23)",0.0672,HE
20,26,3,4,"T(3, 4, 20)",0.0151,"(1, 23)",0.0651,"(1, 22)",0.0649,"(4, 23)",0.0656,HP
20,27,1,7,"T(1, 7, 20)",0.015,"(1, 21)",0.0561,"(1, 20)",0.0578,"(5, 20)",0.0692,HE
20,27,2,6,"T(2, 6, 20)",0.0145,"(1, 22)",0.0589,"(1, 21)",0.0599,"(5, 21)",0.0655,HE
20,27,3,5,"T(3, 5, 20)",0.0143,"(1, 23)",0.0616,"(1, 22)",0.0617,"(5, 22)",0.0635,HE
20,27,4,4,"T(4, 4, 20)",0.0142,"(1, 24)",0.0629,"(1, 23)",0.0628,"(1, 26)",0.0629,HP
20,28,1,8,"T(1, 8, 20)",0.0144,"(1, 21)",0.0534,"(1, 20)",0.0552,"(5, 20)",0.0682,HE
20,28,2,7,"T(2, 7, 20)",0.0139,"(1, 22)",0.0559,"(1, 21)",0.0571,"(5, 21)",0.0643,HE
20,28,3,6,"T(3, 6, 20)",0.0135,"(1, 23)",0.0584,"(1, 22)",0.0589,"(5, 24)",0.0619,HE
20,28,4,5,"T(4, 5, 20)",0.0134,"(1, 24)",0.0603,"(1, 23)",0.0602,"(5, 26)",0.0607,HP
20,29,1,9,"T(1, 9, 20)",0.0138,"(1, 21)",0.051,"(1, 20)",0.053,"(5, 27)",0.0673,HE
20,29,2,8,"T(2, 8, 20)",0.0133,"(1, 22)",0.0532,"(1, 21)",0.0547,"(5, 24)",0.0631,HE
20,29,3,7,"T(3, 7, 20)",0.0129,"(1, 23)",0.0556,"(1, 22)",0.0564,"(5, 24)",0.0603,HE
20,29,4,6,"T(4, 6, 20)",0.0127,"(1, 24)",0.0577,"(1, 23)",0.0578,"(6, 23)",0.059,HE
20,29,5,5,"T(5, 5, 20)",0.0126,"(1, 25)",0.0587,"(1, 24)",0.0586,"(4, 27)",0.0587,HP
20,30,1,10,"T(1, 10, 20)",0.0133,"(1, 21)",0.049,"(1, 20)",0.0511,"(5, 20)",0.0662,HE
20,30,2,9,"T(2, 9, 20)",0.0128,"(1, 22)",0.051,"(1, 21)",0.0527,"(5, 21)",0.0618,HE
20,30,3,8,"T(3, 8, 20)",0.0124,"(1, 23)",0.0531,"(1, 22)",0.0542,"(6, 22)",0.0592,HE
20,30,4,7,"T(4, 7, 20)",0.0121,"(1, 24)",0.0552,"(1, 23)",0.0556,"(6, 23)",0.0578,HE
20,30,5,6,"T(5, 6, 20)",0.012,"(1, 25)",0.0567,"(1, 24)",0.0566,"(6, 26)",0.057,HP
20,31,1,11,"T(1, 11, 20)",0.0129,"(1, 21)",0.0473,"(1, 20)",0.0495,"(5, 20)",0.0652,HE
20,31,2,10,"T(2, 10, 20)",0.0123,"(1, 22)",0.049,"(1, 21)",0.0509,"(6, 21)",0.0609,HE
20,31,3,9,"T(3, 9, 20)",0.0119,"(1, 23)",0.0509,"(1, 22)",0.0523,"(6, 22)",0.0585,HE
20,31,4,8,"T(4, 8, 20)",0.0116,"(1, 24)",0.0528,"(1, 23)",0.0536,"(6, 24)",0.0567,HE
20,31,5,7,"T(5, 7, 20)",0.0114,"(1, 25)",0.0546,"(1, 24)",0.0547,"(7, 24)",0.0554,HE
20,31,6,6,"T(6, 6, 20)",0.0114,"(1, 26)",0.0554,"(1, 25)",0.0553,"(4, 31)",0.0554,HP
20,32,1,12,"T(1, 12, 20)",0.0125,"(1, 21)",0.0457,"(1, 20)",0.048,"(5, 20)",0.0642,HE
20,32,2,11,"T(2, 11, 20)",0.0119,"(1, 22)",0.0473,"(1, 21)",0.0493,"(6, 21)",0.0605,HE
20,32,3,10,"T(3, 10, 20)",0.0115,"(1, 23)",0.0489,"(1, 22)",0.0506,"(6, 22)",0.0578,HE
20,32,4,9,"T(4, 9, 20)",0.0111,"(1, 24)",0.0508,"(1, 23)",0.0518,"(6, 30)",0.0556,HE
