D,N,K,L,Grafo Original,Conectividade Algebrica,Arestas Forca Bruta,Conectividade Aumentada Forca Bruta,Lista de Conectividades
92,183,1,91,"T(1, 91, 92)",0.00049150189072882727,"[(23, 183), (23, 92), (24, 183), (24, 91), (24, 92), (25, 183), (25, 91), (25, 92), (26, 183), (26, 90), (26, 91), (26, 92), (27, 183), (27, 90), (27, 91), (27, 92), (28, 183), (28, 89), (28, 90), (28, 91), (28, 92), (29, 89), (29, 90), (29, 91)]",0.0028109186093249858,"[0.0028109186093249858, 0.002818619463535268, 0.0028462328846390536, 0.0028000375721349479, 0.0028504656795995606, 0.0028716971262726272, 0.0028397355881412301, 0.0028729577893922844, 0.0028818754041802434, 0.0028193835713398907, 0.0028694120408986712, 0.0028818713352387745, 0.0028702739339229793, 0.0028615593433963167, 0.0028818680255100026, 0.0028723985157763994, 0.0028317941525103502, 0.0028327991171211587, 0.0028818594001946227, 0.002867693209922596, 0.002840558879886552, 0.0028817781534542955, 0.0028546113176983602, 0.0028199179751364723]"
92,184,1,92,"T(1, 92, 92)",0.00048976129186641105,"[(23, 184), (23, 92), (24, 184), (24, 91), (24, 92), (25, 184), (25, 91), (25, 92), (26, 184), (26, 90), (26, 91), (26, 92), (27, 184), (27, 90), (27, 91), (27, 92), (28, 184), (28, 89), (28, 90), (28, 91), (28, 92), (29, 89), (29, 90), (29, 91)]",0.0028059427909090323,"[0.0028059427909090323, 0.0028139565233422275, 0.0028419317882680409, 0.0027946591342843429, 0.0028464216797782051, 0.002868254386549321, 0.0028350770502290706, 0.0028696668820093699, 0.0028794530265080684, 0.0028135494623082436, 0.0028657325298511471, 0.0028794461666573033, 0.0028689065766704064, 0.0028569858929106888, 0.0028794211793949855, 0.002870870342810577, 0.0028312759415547724, 0.0028250220254838168, 0.0028793553102897896, 0.0028665259090945878, 0.0028398127864423138, 0.002878681641561142, 0.0028541974409626272, 0.0028196471612820313]"
99,198,1,99,"T(1, 99, 99)",0.00042274222157837364,"[(24, 198), (24, 99), (25, 198), (25, 99), (26, 198), (26, 98), (26, 99), (27, 198), (27, 97), (27, 98), (27, 99), (28, 198), (28, 97), (28, 98), (28, 99), (29, 198), (29, 96), (29, 97), (29, 98), (29, 99), (30, 198), (30, 96), (30, 97), (30, 98), (30, 99), (31, 198), (31, 96), (31, 97), (31, 98), (31, 99), (32, 96), (32, 97)]",0.0023994696999372865,"[0.0023994696999372865, 0.0024075549165046809, 0.0024314285701599225, 0.0024369806334499518, 0.0024583819594504947, 0.0024236826294015009, 0.0024613792735910566, 0.0024775304693907883, 0.0024018783622478308, 0.0024538653758823742, 0.0024784062910812865, 0.0024850778337422168, 0.0024401963601111869, 0.0024759836675589263, 0.0024850750937538122, 0.0024766207035397648, 0.0024096789233270998, 0.002470990078733954, 0.0024850729898157511, 0.0024780570655606421, 0.0024485949644556799, 0.0024555208300137276, 0.0024850680762805808, 0.0024749422868859013, 0.0024545455088758892, 0.0024004335352329981, 0.0024850430482404647, 0.0024672293906003451, 0.0024407834052657222, 0.0024135428074086428, 0.0024299375470654581, 0.0024090875896564719]"
