D,N,K,L,Grafo Original,Conectividade Algebrica,Arestas Forca Bruta,Conectividade Aumentada Forca Bruta,Lista de Conectividades
60,119,1,59,"T(1, 59, 60)",0.0011620022502665337,"[(16, 119), (16, 60), (17, 119), (17, 60), (18, 119), (18, 59), (18, 60), (19, 58)]",0.0067376593286640855,"[0.0067376593286640855, 0.0067518052185980204, 0.0068101622483414349, 0.0068101435172223954, 0.0067389141706569646, 0.0068093850482184876, 0.0067607112794925176, 0.0067205857932682448]"
67,133,1,66,"T(1, 66, 66)",0.00093033909042028755,"[(18, 133), (18, 67), (19, 133), (19, 66), (19, 67), (20, 133), (20, 66), (20, 67), (21, 65), (21, 66)]",0.0054118776414868825,"[0.0054118776414868825, 0.0054191094208088687, 0.0054535792093620625, 0.0053970333215792171, 0.0054535441425232044, 0.0054065924274531944, 0.005453431143450151, 0.005419069313231193, 0.0054523054399293423, 0.0053864315185851398]"
67,134,1,67,"T(1, 67, 67)",0.00092582212639028927,"[(18, 134), (18, 67), (19, 134), (19, 66), (19, 67), (20, 134), (20, 66), (20, 67), (21, 65), (21, 66)]",0.0054013801018113605,"[0.0054013801018113605, 0.0054094824810125538, 0.0054471092030059431, 0.005384987017114211, 0.0054470964272713253, 0.0054043360781974806, 0.0054467311183372322, 0.005415977046165049, 0.0054427907701634047, 0.0053853129631841294]"
74,148,1,74,"T(1, 74, 74)",0.00075827599455477359,"[(19, 148), (19, 74), (20, 148), (20, 74), (21, 148), (21, 73), (21, 74), (22, 148), (22, 72), (22, 73), (22, 74), (23, 72), (23, 73)]",0.0043704955125627174,"[0.0043704955125627174, 0.0043835111793007224, 0.00443286367695582, 0.0044372435149078694, 0.0044604482733055402, 0.0044242968174741512, 0.0044604276953717275, 0.0044304675117364462, 0.0043843356430828782, 0.0044603688030246781, 0.0044376374970685742, 0.004460061682785745, 0.0044199099144174008]"
78,155,1,77,"T(1, 77, 78)",0.00068505813071048833,"[(20, 155), (20, 78), (21, 155), (21, 78), (22, 155), (22, 77), (22, 78), (23, 155), (23, 76), (23, 77), (23, 78), (24, 76), (24, 77), (24, 78), (25, 76)]",0.0039406720670721934,"[0.0039406720670721934, 0.0039509421237581503, 0.0039920219458251084, 0.00399560608734596, 0.0040160698053550957, 0.0039852904429931585, 0.0040160674798569293, 0.003996517323243051, 0.003957380372005089, 0.0040158903243291471, 0.0040009444229221359, 0.0040152046617957368, 0.003990528468745997, 0.0039408026076670766, 0.0039465431434568196]"
81,162,1,81,"T(1, 81, 81)",0.00063241056066683297,"[(21, 162), (21, 81), (22, 162), (22, 80), (22, 81), (23, 162), (23, 80), (23, 81), (24, 162), (24, 79), (24, 80), (24, 81), (25, 79), (25, 80), (25, 81), (26, 79)]",0.0036595565632844347,"[0.0036595565632844347, 0.0036675924895968959, 0.0037021175045487552, 0.0036467809522707077, 0.0037045864094477979, 0.003719281207431559, 0.0036974078203631231, 0.0037192793511919933, 0.0036974096957131525, 0.0036780790359799915, 0.0037192782485132993, 0.0037020874499568389, 0.0037192742023305883, 0.0036910276615327027, 0.0036455890780817783, 0.0036488915533644268]"
