D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
13,15,1,2,"T(1, 2, 13)",0.0444,"(1, 14)",0.1686,"(1, 13)",0.1672,"(2, 14)",0.1815,HP
13,16,1,3,"T(1, 3, 13)",0.0402,"(1, 14)",0.148,"(1, 13)",0.15,"(3, 13)",0.1726,HE
13,16,2,2,"T(2, 2, 13)",0.0395,"(1, 15)",0.1667,"(1, 14)",0.1642,"(3, 14)",0.1667,HP
13,17,1,4,"T(1, 4, 13)",0.037,"(1, 14)",0.1333,"(1, 13)",0.1374,"(3, 14)",0.1663,HE
13,17,2,3,"T(2, 3, 13)",0.0358,"(1, 15)",0.148,"(1, 14)",0.149,"(3, 16)",0.1574,HE
13,18,1,5,"T(1, 5, 13)",0.0346,"(1, 14)",0.1223,"(1, 13)",0.1278,"(3, 13)",0.1578,HE
13,18,2,4,"T(2, 4, 13)",0.033,"(1, 15)",0.133,"(1, 14)",0.1371,"(4, 14)",0.1499,HE
13,18,3,3,"T(3, 3, 13)",0.0325,"(1, 16)",0.147,"(1, 15)",0.147,"(4, 15)",0.1487,Iguais
13,19,1,6,"T(1, 6, 13)",0.0326,"(1, 14)",0.1139,"(1, 13)",0.1202,"(4, 13)",0.1522,HE
13,19,2,5,"T(2, 5, 13)",0.0308,"(1, 15)",0.1218,"(1, 14)",0.1277,"(4, 14)",0.1475,HE
13,19,3,4,"T(3, 4, 13)",0.03,"(1, 16)",0.1322,"(1, 15)",0.1366,"(4, 16)",0.1428,HE
13,20,1,7,"T(1, 7, 13)",0.031,"(1, 14)",0.1072,"(1, 13)",0.1142,"(4, 13)",0.1522,HE
13,20,2,6,"T(2, 6, 13)",0.029,"(1, 15)",0.113,"(1, 14)",0.1202,"(4, 14)",0.1446,HE
13,20,3,5,"T(3, 5, 13)",0.028,"(1, 16)",0.1206,"(1, 15)",0.1276,"(4, 15)",0.1357,HE
13,20,4,4,"T(4, 4, 13)",0.0276,"(1, 17)",0.1275,"(1, 16)",0.1356,"(5, 16)",0.137,HE
