D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
12,14,1,2,"T(1, 2, 12)",0.0511,"(1, 13)",0.1919,"(1, 12)",0.1901,"(2, 13)",0.2099,HP
12,15,1,3,"T(1, 3, 12)",0.0461,"(1, 13)",0.1672,"(1, 12)",0.1699,"(3, 12)",0.1998,HE
12,15,2,2,"T(2, 2, 12)",0.0452,"(1, 14)",0.191,"(1, 13)",0.1883,"(3, 13)",0.1926,HP
12,16,1,4,"T(1, 4, 12)",0.0424,"(1, 13)",0.15,"(1, 12)",0.1554,"(3, 12)",0.1923,HE
12,16,2,3,"T(2, 3, 12)",0.0408,"(1, 14)",0.1663,"(1, 13)",0.1696,"(3, 14)",0.1822,HE
12,17,1,5,"T(1, 5, 12)",0.0395,"(1, 13)",0.1374,"(1, 12)",0.1445,"(3, 12)",0.1843,HE
12,17,2,4,"T(2, 4, 12)",0.0375,"(1, 14)",0.1486,"(1, 13)",0.1554,"(4, 13)",0.1704,HE
12,17,3,3,"T(3, 3, 12)",0.0369,"(1, 15)",0.1602,"(1, 14)",0.1688,"(4, 14)",0.1722,HE
12,18,1,6,"T(1, 6, 12)",0.0373,"(1, 13)",0.1278,"(1, 12)",0.136,"(3, 12)",0.1766,HE
12,18,2,5,"T(2, 5, 12)",0.035,"(1, 14)",0.1356,"(1, 13)",0.1444,"(4, 13)",0.1694,HE
12,18,3,4,"T(3, 4, 12)",0.0339,"(1, 15)",0.145,"(1, 14)",0.1554,"(4, 16)",0.1656,HE
12,19,1,7,"T(1, 7, 12)",0.0355,"(1, 13)",0.1202,"(1, 12)",0.1292,"(3, 12)",0.1697,HE
12,19,2,6,"T(2, 6, 12)",0.033,"(1, 14)",0.1257,"(1, 13)",0.1358,"(4, 13)",0.1679,HE
12,19,3,5,"T(3, 5, 12)",0.0316,"(1, 15)",0.1322,"(1, 14)",0.1444,"(4, 14)",0.1572,HE
12,19,4,4,"T(4, 4, 12)",0.0312,"(1, 16)",0.1366,"(1, 15)",0.1553,"(5, 15)",0.1591,HE
12,20,1,8,"T(1, 8, 12)",0.034,"(1, 13)",0.1142,"(1, 12)",0.1237,"(3, 12)",0.1635,HE
12,20,2,7,"T(2, 7, 12)",0.0313,"(1, 14)",0.1179,"(1, 13)",0.1289,"(4, 13)",0.1655,HE
12,20,3,6,"T(3, 6, 12)",0.0298,"(1, 15)",0.1223,"(1, 14)",0.1355,"(4, 14)",0.1507,HE
12,20,4,5,"T(4, 5, 12)",0.029,"(1, 16)",0.1263,"(1, 15)",0.1442,"(5, 20)",0.1546,HE
