D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
86,171,1,85,"T(1, 85, 86)",0.0005629,"(1, 87)",0.0021982,"(1, 86)",0.0022323,"(24, 86)",0.0032988,HE
86,172,1,86,"T(1, 86, 86)",0.0005608,"(1, 87)",0.0021897,"(1, 86)",0.0022238,"(24, 86)",0.0032954,HE
87,173,1,86,"T(1, 86, 87)",0.00055,"(1, 88)",0.0021483,"(1, 87)",0.0021813,"(25, 87)",0.0032229,HE
87,174,1,87,"T(1, 87, 87)",0.0005479,"(1, 88)",0.00214,"(1, 87)",0.002173,"(25, 87)",0.0032204,HE
88,175,1,87,"T(1, 87, 88)",0.0005375,"(1, 89)",0.0021001,"(1, 88)",0.0021319,"(25, 88)",0.0031512,HE
88,176,1,88,"T(1, 88, 88)",0.0005355,"(1, 89)",0.0020921,"(1, 88)",0.002124,"(25, 88)",0.0031485,HE
89,177,1,88,"T(1, 88, 89)",0.0005254,"(1, 90)",0.0020534,"(1, 89)",0.0020843,"(25, 89)",0.0030801,HE
89,178,1,89,"T(1, 89, 89)",0.0005235,"(1, 90)",0.0020457,"(1, 89)",0.0020766,"(25, 89)",0.0030772,HE
90,179,1,89,"T(1, 89, 90)",0.0005137,"(1, 91)",0.0020083,"(1, 90)",0.0020382,"(25, 90)",0.0030099,HE
90,180,1,90,"T(1, 90, 90)",0.0005118,"(1, 91)",0.0020009,"(1, 90)",0.0020307,"(26, 90)",0.003007,HE
91,181,1,90,"T(1, 90, 91)",0.0005024,"(1, 92)",0.0019647,"(1, 91)",0.0019936,"(26, 91)",0.0029453,HE
91,182,1,91,"T(1, 91, 91)",0.0005006,"(1, 92)",0.0019575,"(1, 91)",0.0019864,"(26, 91)",0.002943,HE
92,183,1,91,"T(1, 91, 92)",0.0004915,"(1, 93)",0.0019225,"(1, 92)",0.0019504,"(26, 156)",0.0028819,HE
92,184,1,92,"T(1, 92, 92)",0.0004898,"(1, 93)",0.0019155,"(1, 92)",0.0019435,"(26, 163)",0.0028795,HE
93,185,1,92,"T(1, 92, 93)",0.0004809,"(1, 94)",0.0018816,"(1, 93)",0.0019087,"(26, 93)",0.0028191,HE
93,186,1,93,"T(1, 93, 93)",0.0004792,"(1, 94)",0.0018749,"(1, 93)",0.0019019,"(26, 93)",0.0028165,HE
94,187,1,93,"T(1, 93, 94)",0.0004707,"(1, 95)",0.001842,"(1, 94)",0.0018682,"(27, 94)",0.0027585,HE
94,188,1,94,"T(1, 94, 94)",0.0004691,"(1, 95)",0.0018355,"(1, 94)",0.0018617,"(27, 94)",0.0027565,HE
95,189,1,94,"T(1, 94, 95)",0.0004608,"(1, 96)",0.0018037,"(1, 95)",0.0018291,"(27, 95)",0.0027017,HE
95,190,1,95,"T(1, 95, 95)",0.0004592,"(1, 96)",0.0017974,"(1, 95)",0.0018227,"(27, 95)",0.0026997,HE
96,191,1,95,"T(1, 95, 96)",0.0004512,"(1, 97)",0.0017665,"(1, 96)",0.0017911,"(27, 96)",0.0026455,HE
96,192,1,96,"T(1, 96, 96)",0.0004497,"(1, 97)",0.0017604,"(1, 96)",0.001785,"(27, 96)",0.0026432,HE
97,193,1,96,"T(1, 96, 97)",0.0004419,"(1, 98)",0.0017305,"(1, 97)",0.0017544,"(27, 97)",0.0025898,HE
97,194,1,97,"T(1, 97, 97)",0.0004404,"(1, 98)",0.0017246,"(1, 97)",0.0017484,"(27, 97)",0.0025875,HE
98,195,1,97,"T(1, 97, 98)",0.0004329,"(1, 99)",0.0016956,"(1, 98)",0.0017187,"(28, 98)",0.0025376,HE
98,196,1,98,"T(1, 98, 98)",0.0004314,"(1, 99)",0.0016898,"(1, 98)",0.0017129,"(28, 98)",0.0025358,HE
99,197,1,98,"T(1, 98, 99)",0.0004241,"(1, 100)",0.0016617,"(1, 99)",0.0016841,"(28, 99)",0.002487,HE
99,198,1,99,"T(1, 99, 99)",0.0004227,"(1, 100)",0.0016561,"(1, 99)",0.0016785,"(28, 146)",0.0024851,HE
100,199,1,99,"T(1, 99, 100)",0.0004157,"(1, 101)",0.0016288,"(1, 100)",0.0016506,"(28, 100)",0.0024368,HE
100,200,1,100,"T(1, 100, 100)",0.0004143,"(1, 101)",0.0016234,"(1, 100)",0.0016452,"(28, 100)",0.0024348,HE
