D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
22,35,7,7,"T(7, 7, 22)",0.009,"(1, 29)",0.0445,"(1, 28)",0.0445,"(8, 28)",0.0445,Iguais
22,36,1,14,"T(1, 14, 22)",0.0101,"(1, 23)",0.0373,"(1, 22)",0.039,"(6, 26)",0.0535,HE
22,36,2,13,"T(2, 13, 22)",0.0097,"(1, 24)",0.0383,"(1, 23)",0.0399,"(6, 23)",0.0499,HE
22,36,3,12,"T(3, 12, 22)",0.0093,"(1, 25)",0.0394,"(1, 24)",0.0407,"(7, 24)",0.0472,HE
22,36,4,11,"T(4, 11, 22)",0.009,"(1, 26)",0.0406,"(1, 25)",0.0416,"(7, 25)",0.0458,HE
22,36,5,10,"T(5, 10, 22)",0.0088,"(1, 27)",0.0417,"(1, 26)",0.0423,"(7, 27)",0.0446,HE
22,36,6,9,"T(6, 9, 22)",0.0087,"(1, 28)",0.0428,"(1, 27)",0.043,"(8, 27)",0.0439,HE
22,36,7,8,"T(7, 8, 22)",0.0086,"(1, 29)",0.0434,"(1, 28)",0.0434,"(8, 29)",0.0435,Iguais
22,37,1,15,"T(1, 15, 22)",0.0099,"(1, 23)",0.0363,"(1, 22)",0.0381,"(6, 22)",0.0531,HE
22,37,2,14,"T(2, 14, 22)",0.0094,"(1, 24)",0.0372,"(1, 23)",0.0389,"(6, 23)",0.0494,HE
22,37,3,13,"T(3, 13, 22)",0.0091,"(1, 25)",0.0383,"(1, 24)",0.0397,"(7, 24)",0.0469,HE
22,37,4,12,"T(4, 12, 22)",0.0088,"(1, 26)",0.0393,"(1, 25)",0.0405,"(7, 37)",0.0454,HE
22,37,5,11,"T(5, 11, 22)",0.0085,"(1, 27)",0.0404,"(1, 26)",0.0412,"(7, 26)",0.0438,HE
22,37,6,10,"T(6, 10, 22)",0.0084,"(1, 28)",0.0415,"(1, 27)",0.0419,"(8, 27)",0.0433,HE
22,37,7,9,"T(7, 9, 22)",0.0083,"(1, 29)",0.0423,"(1, 28)",0.0424,"(8, 34)",0.0426,HE
22,37,8,8,"T(8, 8, 22)",0.0083,"(1, 30)",0.0427,"(1, 29)",0.0426,"(3, 35)",0.0427,HP
22,38,1,16,"T(1, 16, 22)",0.0097,"(1, 23)",0.0354,"(1, 22)",0.0372,"(6, 22)",0.0527,HE
22,38,2,15,"T(2, 15, 22)",0.0092,"(1, 24)",0.0363,"(1, 23)",0.038,"(6, 23)",0.0488,HE
22,38,3,14,"T(3, 14, 22)",0.0088,"(1, 25)",0.0372,"(1, 24)",0.0387,"(7, 24)",0.0467,HE
22,38,4,13,"T(4, 13, 22)",0.0085,"(1, 26)",0.0382,"(1, 25)",0.0395,"(7, 36)",0.0449,HE
22,38,5,12,"T(5, 12, 22)",0.0083,"(1, 27)",0.0393,"(1, 26)",0.0402,"(8, 26)",0.0434,HE
22,38,6,11,"T(6, 11, 22)",0.0081,"(1, 28)",0.0403,"(1, 27)",0.0409,"(8, 30)",0.0427,HE
22,38,7,10,"T(7, 10, 22)",0.008,"(1, 29)",0.0412,"(1, 28)",0.0414,"(9, 28)",0.042,HE
22,38,8,9,"T(8, 9, 22)",0.0079,"(1, 30)",0.0418,"(1, 29)",0.0417,"(9, 32)",0.0419,HP
22,39,1,17,"T(1, 17, 22)",0.0095,"(1, 23)",0.0347,"(1, 22)",0.0365,"(6, 22)",0.0522,HE
22,39,2,16,"T(2, 16, 22)",0.009,"(1, 24)",0.0354,"(1, 23)",0.0372,"(7, 23)",0.0484,HE
22,39,3,15,"T(3, 15, 22)",0.0086,"(1, 25)",0.0363,"(1, 24)",0.0379,"(7, 24)",0.0464,HE
22,39,4,14,"T(4, 14, 22)",0.0083,"(1, 26)",0.0372,"(1, 25)",0.0386,"(7, 25)",0.0444,HE
22,39,5,13,"T(5, 13, 22)",0.008,"(1, 27)",0.0382,"(1, 26)",0.0393,"(8, 26)",0.0431,HE
22,39,6,12,"T(6, 12, 22)",0.0079,"(1, 28)",0.0392,"(1, 27)",0.0399,"(8, 38)",0.0422,HE
22,39,7,11,"T(7, 11, 22)",0.0077,"(1, 29)",0.0401,"(1, 28)",0.0405,"(9, 28)",0.0416,HE
22,39,8,10,"T(8, 10, 22)",0.0077,"(1, 30)",0.0408,"(1, 29)",0.0409,"(9, 36)",0.0411,HE
22,39,9,9,"T(9, 9, 22)",0.0076,"(1, 31)",0.0411,"(1, 30)",0.0411,"(10, 30)",0.0411,Iguais
22,40,1,18,"T(1, 18, 22)",0.0093,"(1, 23)",0.0339,"(1, 22)",0.0358,"(6, 22)",0.0518,HE
22,40,2,17,"T(2, 17, 22)",0.0088,"(1, 24)",0.0347,"(1, 23)",0.0364,"(7, 23)",0.0483,HE
22,40,3,16,"T(3, 16, 22)",0.0084,"(1, 25)",0.0354,"(1, 24)",0.0371,"(7, 24)",0.0462,HE
22,40,4,15,"T(4, 15, 22)",0.0081,"(1, 26)",0.0363,"(1, 25)",0.0377,"(7, 25)",0.044,HE
22,40,5,14,"T(5, 14, 22)",0.0078,"(1, 27)",0.0372,"(1, 26)",0.0384,"(8, 26)",0.0428,HE
22,40,6,13,"T(6, 13, 22)",0.0076,"(1, 28)",0.0381,"(1, 27)",0.039,"(8, 27)",0.0416,HE
22,40,7,12,"T(7, 12, 22)",0.0075,"(1, 29)",0.0391,"(1, 28)",0.0396,"(9, 28)",0.0411,HE
22,40,8,11,"T(8, 11, 22)",0.0074,"(1, 30)",0.0399,"(1, 29)",0.0401,"(10, 29)",0.0405,HE
22,40,9,10,"T(9, 10, 22)",0.0074,"(1, 31)",0.0404,"(1, 30)",0.0404,"(10, 35)",0.0405,Iguais
