D,N,K,L,Grafo Original,Conectividade Algebrica,Aresta HP,Conectividade Aumentada HP,Aresta HE,Conectividade Aumentada HE,Aresta FB,Conectividade Aumentada FB,Melhor Heuristica
30,32,1,2,"T(1, 2, 30)",0.0096,"(1, 31)",0.0383,"(1, 30)",0.0383,"(3, 30)",0.0387,Iguais
30,33,1,3,"T(1, 3, 30)",0.0091,"(1, 31)",0.036,"(1, 30)",0.0361,"(4, 30)",0.0369,HE
30,33,2,2,"T(2, 2, 30)",0.0091,"(1, 32)",0.0366,"(1, 31)",0.0366,"(1, 33)",0.0366,Iguais
30,34,1,4,"T(1, 4, 30)",0.0086,"(1, 31)",0.034,"(1, 30)",0.0341,"(4, 34)",0.0354,HE
30,34,2,3,"T(2, 3, 30)",0.0086,"(1, 32)",0.0347,"(1, 31)",0.0347,"(4, 31)",0.0349,Iguais
30,35,1,5,"T(1, 5, 30)",0.0082,"(1, 31)",0.0322,"(1, 30)",0.0324,"(5, 30)",0.0343,HE
30,35,2,4,"T(2, 4, 30)",0.0082,"(1, 32)",0.033,"(1, 31)",0.033,"(4, 35)",0.0335,Iguais
30,35,3,3,"T(3, 3, 30)",0.0081,"(1, 33)",0.0333,"(1, 32)",0.0333,"(2, 34)",0.0333,Iguais
30,36,1,6,"T(1, 6, 30)",0.0079,"(1, 31)",0.0306,"(1, 30)",0.0309,"(5, 33)",0.0333,HE
30,36,2,5,"T(2, 5, 30)",0.0078,"(1, 32)",0.0314,"(1, 31)",0.0315,"(5, 31)",0.0324,HE
30,36,3,4,"T(3, 4, 30)",0.0077,"(1, 33)",0.0319,"(1, 32)",0.0318,"(5, 32)",0.032,HP
30,37,1,7,"T(1, 7, 30)",0.0075,"(1, 31)",0.0292,"(1, 30)",0.0296,"(6, 30)",0.0326,HE
30,37,2,6,"T(2, 6, 30)",0.0074,"(1, 32)",0.03,"(1, 31)",0.0301,"(5, 32)",0.0315,HE
30,37,3,5,"T(3, 5, 30)",0.0074,"(1, 33)",0.0305,"(1, 32)",0.0305,"(5, 37)",0.0309,Iguais
30,37,4,4,"T(4, 4, 30)",0.0073,"(1, 34)",0.0307,"(1, 33)",0.0307,"(4, 34)",0.0307,Iguais
30,38,1,8,"T(1, 8, 30)",0.0072,"(1, 31)",0.028,"(1, 30)",0.0284,"(6, 38)",0.0319,HE
30,38,2,7,"T(2, 7, 30)",0.0071,"(1, 32)",0.0287,"(1, 31)",0.0289,"(6, 31)",0.0308,HE
30,38,3,6,"T(3, 6, 30)",0.007,"(1, 33)",0.0293,"(1, 32)",0.0293,"(6, 32)",0.0301,Iguais
30,38,4,5,"T(4, 5, 30)",0.007,"(1, 34)",0.0296,"(1, 33)",0.0296,"(5, 35)",0.0297,Iguais
30,39,1,9,"T(1, 9, 30)",0.007,"(1, 31)",0.0269,"(1, 30)",0.0274,"(6, 39)",0.0313,HE
30,39,2,8,"T(2, 8, 30)",0.0069,"(1, 32)",0.0276,"(1, 31)",0.0279,"(6, 35)",0.0302,HE
30,39,3,7,"T(3, 7, 30)",0.0068,"(1, 33)",0.0282,"(1, 32)",0.0283,"(6, 39)",0.0294,HE
30,39,4,6,"T(4, 6, 30)",0.0067,"(1, 34)",0.0286,"(1, 33)",0.0286,"(6, 33)",0.0289,Iguais
30,39,5,5,"T(5, 5, 30)",0.0067,"(1, 35)",0.0287,"(1, 34)",0.0287,"(7, 33)",0.0287,Iguais
30,40,1,10,"T(1, 10, 30)",0.0068,"(1, 31)",0.026,"(1, 30)",0.0265,"(7, 30)",0.0309,HE
30,40,2,9,"T(2, 9, 30)",0.0066,"(1, 32)",0.0266,"(1, 31)",0.0269,"(7, 31)",0.0296,HE
30,40,3,8,"T(3, 8, 30)",0.0065,"(1, 33)",0.0272,"(1, 32)",0.0273,"(6, 36)",0.0287,HE
30,40,4,7,"T(4, 7, 30)",0.0064,"(1, 34)",0.0276,"(1, 33)",0.0276,"(6, 40)",0.0282,Iguais
30,40,5,6,"T(5, 6, 30)",0.0064,"(1, 35)",0.0279,"(1, 34)",0.0278,"(6, 37)",0.0279,HP
